playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
31,26,9.0,9.0,8004,Harry Kane,Harry,Kane,1993-07-28,England,Centre-Forward,,,2024-08-12T11:57:09Z,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,Säbenerstr. 51 München 81547,http://www.fcbayern.de,1900,Red / White / Blue,Allianz Arena,2024-07-09T17:26:37Z,BL1,Bundesliga,2024
30,21,6.0,3.0,211,Sehrou Guirassy,Serhou,Guirassy,1996-03-12,Guinea,Centre-Forward,,9.0,2024-08-12T11:57:09Z,4,Borussia Dortmund,Dortmund,BVB,https://crests.football-data.org/4.png,Rheinlanddamm 207-209 Dortmund 44137,http://www.bvb.de,1909,Black / Yellow,Signal Iduna Park,2022-02-25T16:50:16Z,BL1,Bundesliga,2024
33,21,1.0,1.0,1826,Patrik Schick,Patrik,Schick,1996-01-24,Czech Republic,Centre-Forward,,,2024-08-12T11:57:09Z,3,Bayer 04 Leverkusen,Leverkusen,B04,https://crests.football-data.org/3.png,Bismarckstr. 122-124 Leverkusen 51373,http://www.bayer04.de,1904,Red / White / Black,BayArena,2022-02-25T16:43:07Z,BL1,Bundesliga,2024
29,18,2.0,2.0,82404,Jonathan Burkardt,Jonathan,Burkardt,2000-07-11,Germany,Centre-Forward,,,2024-08-12T11:57:09Z,15,1. FSV Mainz 05,Mainz,M05,https://crests.football-data.org/15.png,Dr.-Martin-Luther-King-Weg 20 Mainz 55122,http://www.mainz05.de,1905,Red / White,Opel Arena,2023-02-28T07:59:34Z,BL1,Bundesliga,2024
31,16,7.0,1.0,9499,Tim Kleindienst,Tim,Kleindienst,1995-08-31,Germany,Centre-Forward,,34.0,2024-08-12T11:57:09Z,18,Borussia Mönchengladbach,M'gladbach,BMG,https://crests.football-data.org/18.png,Hennes-Weisweiler-Allee 1 Mönchengladbach 41179,http://www.borussia.de,1900,Black / White / Green,Stadion im Borussia-Park,2023-02-28T07:59:45Z,BL1,Bundesliga,2024
34,15,2.0,,33242,Ermedin Demirovic,Ermedin,Demirović,1998-03-25,Bosnia-Herzegovina,Centre-Forward,,,2024-08-12T11:57:09Z,10,VfB Stuttgart,Stuttgart,VFB,https://crests.football-data.org/10.png,Mercedesstraße 109 Stuttgart 70372,http://www.vfb.de,1893,White / Red,Mercedes-Benz Arena,2023-02-28T07:59:06Z,BL1,Bundesliga,2024
33,15,9.0,1.0,152454,Hugo Ekitike,Hugo,Ekitiké,2002-06-20,France,Centre-Forward,,,2024-11-26T09:41:18Z,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,Mörfelder Landstraße 362 Frankfurt am Main 60528,http://www.eintracht.de,1899,Red / Black,Deutsche Bank Park,2024-07-29T17:13:52Z,BL1,Bundesliga,2024
17,15,8.0,2.0,66896,Omar Marmoush,Omar,Marmoush,1999-02-07,Egypt,Centre-Forward,,,2024-08-12T11:57:09Z,19,Eintracht Frankfurt,Frankfurt,SGE,https://crests.football-data.org/19.png,Mörfelder Landstraße 362 Frankfurt am Main 60528,http://www.eintracht.de,1899,Red / Black,Deutsche Bank Park,2024-07-29T17:13:52Z,BL1,Bundesliga,2024
33,13,4.0,2.0,124244,Benjamin Šeško,Benjamin,Šeško,2003-05-31,Slovenia,Centre-Forward,,,2024-10-11T09:41:12Z,721,RB Leipzig,RB Leipzig,RBL,https://crests.football-data.org/721.png,Neumarkt 29-33 Leipzig 04109,http://www.dierotenbullen.com,2009,White / Red,Red Bull Arena,2022-02-19T09:03:00Z,BL1,Bundesliga,2024
25,12,3.0,,144393,Jamal Musiala,Jamal,Musiala,2003-02-26,Germany,Attacking Midfield,,,2024-08-12T11:57:09Z,5,FC Bayern München,Bayern,FCB,https://crests.football-data.org/5.png,Säbenerstr. 51 München 81547,http://www.fcbayern.de,1900,Red / White / Blue,Allianz Arena,2024-07-09T17:26:37Z,BL1,Bundesliga,2024
