playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
36,20,3.0,,1490,Paulinho,,Paulinho,2000-07-15,Brazil,Offence,,,2023-07-30T23:15:42Z,1766,CA Mineiro,Mineiro,CAM,https://crests.football-data.org/1766.png,"Av. Olegário Maciel 1516, Lourdes Belo Horizonte, MG 30180-111",http://www.atletico.com.br,1908,Black / White,Estádio Raimundo Sampaio,2022-12-28T10:32:33Z,BSA,Campeonato Brasileiro Série A,2023
33,17,4.0,5.0,15914,Tiquinho Soares,,Tiquinho Soares,1991-01-17,Brazil,Offence,,,2023-07-30T23:15:45Z,1770,Botafogo FR,Botafogo,BOT,https://crests.football-data.org/1770.png,"Avenida Venceslau Brás 72, Bairro Botafago Rio de Janeiro, RJ 22290-140",http://www.botafogo.com.br,1904,Black / White,Estádio Nilton Santos,2023-02-18T08:43:47Z,BSA,Campeonato Brasileiro Série A,2023
33,17,11.0,1.0,3169,Luis Suárez,Luis,Suárez,1987-01-24,Uruguay,Offence,,,2024-06-11T22:59:38Z,1767,Grêmio FBPA,Grêmio,FBP,https://crests.football-data.org/1767.png,"Avenida Padre Leopoldo Bretano, 110, Humaitá Porto Alegre, RS 90250-590",http://www.gremio.net,1903,Blue / Black / White,Arena do Grêmio,2023-02-18T08:42:52Z,BSA,Campeonato Brasileiro Série A,2023
34,15,11.0,5.0,21689,Hulk,,Hulk,1986-07-25,Brazil,Offence,,10.0,2023-07-30T23:15:42Z,1766,CA Mineiro,Mineiro,CAM,https://crests.football-data.org/1766.png,"Av. Olegário Maciel 1516, Lourdes Belo Horizonte, MG 30180-111",http://www.atletico.com.br,1908,Black / White,Estádio Raimundo Sampaio,2022-12-28T10:32:33Z,BSA,Campeonato Brasileiro Série A,2023
35,13,,4.0,1077,Pedro,,Pedro,1997-06-20,Brazil,Offence,,,2023-07-30T23:15:48Z,1783,CR Flamengo,Flamengo,FLA,https://crests.football-data.org/1783.png,"null Rio de Janeiro, RJ null",https://www.flamengo.com.br/pagina-inicial-basquete,1919,Red / Black / White,Estadio Jornalista Mário Filho,2022-04-06T13:13:43Z,BSA,Campeonato Brasileiro Série A,2023
31,13,2.0,4.0,146758,Marcos Leonardo Almeida,,Marcos Leonardo,2003-05-02,Brazil,Centre-Forward,,,2024-11-01T22:50:30Z,6685,Santos FC,Santos,SAN,https://crests.football-data.org/6685.png,"Rua Princesa Isabel S/N, Vila Belmiro Santos, SP 11075-501",http://santosfc.com.br,1912,Black / White,Estádio Urbano Caldeira,2023-02-18T08:43:18Z,BSA,Campeonato Brasileiro Série A,2023
25,12,3.0,,181439,Vítor Roque,,Vítor Roque,2005-02-28,Brazil,Centre-Forward,,,2024-08-12T11:57:14Z,1768,CA Paranaense,Paranaense,CAP,https://crests.football-data.org/1768.png,"Estrada do Ganchinho 1451, Umbará Curitiba, PR 81930-160",http://www.atleticoparanaense.com,1924,Black / White / Red,Estádio Joaquim Américo Guimarães,2022-04-06T13:14:06Z,BSA,Campeonato Brasileiro Série A,2023
33,12,4.0,7.0,121983,Robson Fernandes,,Robson,1991-05-30,Brazil,Offence,,,2024-06-14T09:42:28Z,4241,Coritiba FBC,Coritiba,COR,https://crests.football-data.org/4241.png,"Rua Ubaldino do Amaral 37, Alto da Glória Curitiba, PR 80060-195",http://www.coritiba.com.br,1909,Green / White,Estádio Major Antônio Couto Pereira,2023-02-18T08:43:33Z,BSA,Campeonato Brasileiro Série A,2023
36,12,2.0,3.0,1196,Deyverson,,Deyverson,1991-05-08,Brazil,Offence,,,2023-07-30T23:15:50Z,4289,Cuiabá EC,Cuiabá EC,CUI,https://crests.football-data.org/4289_large.png,"Rodovia BR 364, Bairro Distrito Industriário Cuiabá, MT 78065-230",http://www.cuiabaesporteclube.com.br,2001,Green / Yellow,Arena Pantanal,2021-07-22T10:54:52Z,BSA,Campeonato Brasileiro Série A,2023
37,11,,,188487,Endrick,,Endrick,2006-07-21,Brazil,Centre-Forward,,,2024-08-23T10:11:36Z,1769,SE Palmeiras,Palmeiras,PAL,https://crests.football-data.org/1769.png,"Rua Palestra Italia nº 214, Perdizes São Paulo, SP 05005-030",http://www.palmeiras.com.br,1914,Green / White,Allianz Parque,2022-04-06T13:14:55Z,BSA,Campeonato Brasileiro Série A,2023
