playedMatches,goals,assists,penalties,player.id,player.name,player.firstName,player.lastName,player.dateOfBirth,player.nationality,player.section,player.position,player.shirtNumber,player.lastUpdated,team.id,team.name,team.shortName,team.tla,team.crest,team.address,team.website,team.founded,team.clubColors,team.venue,team.lastUpdated,competition_code,competition_name,season_start_year
34,29,4.0,1.0,67299,Vangelis Pavlidis,Vangelis,Pavlidis,1998-11-21,Greece,Offence,,,2023-07-30T23:06:57Z,682,AZ,AZ,AZ,https://crests.football-data.org/682.png,Stadionweg 1 Alkmaar 1812 AZ,http://www.az.nl,1967,Red / White,AFAS Stadion,2022-03-22T10:11:18Z,DED,Eredivisie,2023
34,29,15.0,6.0,7452,Luuk de Jong,Luuk,de Jong,1990-08-27,Netherlands,Centre-Forward,,,2024-08-24T08:13:26Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,DED,Eredivisie,2023
31,22,6.0,2.0,39635,Santiago Giménez,Santiago,Giménez,2001-04-18,Mexico,Centre-Forward,,29.0,2025-02-02T09:41:08Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,Van Zandvlietplein 3 Rotterdam 3007 AP,http://www.feyenoord.nl,1908,Red / White / Black,Stadion Feijenoord,2022-03-24T17:06:52Z,DED,Eredivisie,2023
31,18,8.0,,97535,Brian Brobbey,Brian,Brobbey,2002-02-01,Netherlands,Centre-Forward,,17.0,2024-08-24T08:13:27Z,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,ArenA Boulevard 29 Amsterdam 1101 AX,http://www.ajax.nl,1900,Red / White,Johan Cruyff ArenA,2022-03-22T10:11:05Z,DED,Eredivisie,2023
34,17,3.0,1.0,80161,Sem Steijn,Sem,Steijn,2001-11-17,Netherlands,Attacking Midfield,,,2024-08-24T08:13:26Z,666,FC Twente '65,Twente,TWE,https://crests.football-data.org/666.png,Colosseum 65 Enschede 7521 PP,http://www.fctwente.nl,1965,Red / White,De Grolsch Veste,2022-03-24T17:06:27Z,DED,Eredivisie,2023
33,16,2.0,2.0,16061,Ricky van Wolfswinkel,Ricky,van Wolfswinkel,1989-01-27,Netherlands,Centre-Forward,,,2024-08-24T08:13:26Z,666,FC Twente '65,Twente,TWE,https://crests.football-data.org/666.png,Colosseum 65 Enschede 7521 PP,http://www.fctwente.nl,1965,Red / White,De Grolsch Veste,2022-03-24T17:06:27Z,DED,Eredivisie,2023
32,13,2.0,,7312,Lennart Thy,Lennart,Thy,1992-02-25,Germany,Offence,,,2023-07-30T23:06:59Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,Stadionplein 1 Zwolle 8025 CP,http://www.peczwolle.nl,1910,Blue / White,MAC³PARK Stadion,2022-03-22T10:11:39Z,DED,Eredivisie,2023
24,12,5.0,5.0,7453,Steven Bergwijn,Steven,Bergwijn,1997-10-08,Netherlands,Left Winger,,,2024-08-24T08:13:27Z,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,ArenA Boulevard 29 Amsterdam 1101 AX,http://www.ajax.nl,1900,Red / White,Johan Cruyff ArenA,2022-03-22T10:11:05Z,DED,Eredivisie,2023
31,12,7.0,3.0,38124,Tobias Lauritsen,Tobias,Lauritsen,1997-08-30,Norway,Centre-Forward,,20.0,2024-08-24T08:13:28Z,6806,Sparta Rotterdam,Sparta,SPA,https://crests.football-data.org/6806.png,Spartapark Noord 1 Rotterdam 3027 VW,http://www.sparta-rotterdam.nl,1888,Red / White / Black,Sparta-Stadion Het Kasteel,2022-03-22T10:09:59Z,DED,Eredivisie,2023
33,12,9.0,,154110,Johan Bakayoko,Johan,Bakayoko,2003-04-20,Belgium,Right Winger,,,2024-08-24T08:13:26Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,DED,Eredivisie,2023
