id,utcDate,status,matchday,stage,group,lastUpdated,area_id,area_name,area_code,area_flag,competition_id,competition_name,competition_code,competition_type,competition_emblem,season_id,season_startDate,season_endDate,season_currentMatchday,season_winner_id,season_winner_name,season_winner_shortName,season_winner_tla,season_winner_crest,season_winner_address,season_winner_website,season_winner_founded,season_winner_clubColors,season_winner_venue,season_winner_lastUpdated,homeTeam_id,homeTeam_name,homeTeam_shortName,homeTeam_tla,homeTeam_crest,awayTeam_id,awayTeam_name,awayTeam_shortName,awayTeam_tla,awayTeam_crest,score_winner,score_duration,score_fullTime_home,score_fullTime_away,score_halfTime_home,score_halfTime_away,odds_msg,competition_id_api,competition_code_api,competition_name_api,season_filter_year
441482,2023-08-11T18:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,1919,FC Volendam,Volendam,VOL,https://crests.football-data.org/1919.png,679,SBV Vitesse,Vitesse,VIT,https://crests.football-data.org/679.png,AWAY_TEAM,REGULAR,1,2,1,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441483,2023-08-12T14:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T19:14:25Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,676,FC Utrecht,Utrecht,UTR,https://crests.football-data.org/676.png,HOME_TEAM,REGULAR,2,0,1,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441484,2023-08-12T16:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T19:18:01Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,673,SC Heerenveen,Heerenveen,HEE,https://crests.football-data.org/673.png,683,RKC Waalwijk,RKC,RKC,https://crests.football-data.org/683.png,HOME_TEAM,REGULAR,3,1,3,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441485,2023-08-12T18:00:00Z,FINISHED,1,REGULAR_SEASON,,2024-06-02T20:20:54Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,678,AFC Ajax,Ajax,AJA,https://crests.football-data.org/678.png,671,Heracles Almelo,Heracles,HER,https://crests.football-data.org/671.png,HOME_TEAM,REGULAR,4,1,1,1,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441486,2023-08-12T19:00:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,684,PEC Zwolle,Zwolle,ZWO,https://crests.football-data.org/684.png,6806,Sparta Rotterdam,Sparta,SPA,https://crests.football-data.org/6806.png,AWAY_TEAM,REGULAR,1,2,0,1,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441487,2023-08-13T10:15:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,670,SBV Excelsior,Excelsior,EXC,https://crests.football-data.org/670.png,AWAY_TEAM,REGULAR,3,4,2,1,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441488,2023-08-13T12:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,675,Feyenoord Rotterdam,Feyenoord,FEY,https://crests.football-data.org/675.png,1920,Fortuna Sittard,Sittard,SIT,https://crests.football-data.org/1920.png,DRAW,REGULAR,0,0,0,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441489,2023-08-13T12:30:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T19:18:02Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,682,AZ,AZ,AZ,https://crests.football-data.org/682.png,718,Go Ahead Eagles,Go Ahead,GOA,https://crests.football-data.org/718.png,HOME_TEAM,REGULAR,5,1,2,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441490,2023-08-13T14:45:00Z,FINISHED,1,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,1911,Almere City FC,Almere City,ALM,https://crests.football-data.org/1911.png,666,FC Twente '65,Twente,TWE,https://crests.football-data.org/666.png,AWAY_TEAM,REGULAR,1,4,0,0,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
441491,2023-08-18T18:00:00Z,FINISHED,2,REGULAR_SEASON,,2023-09-19T20:20:03Z,2163,Netherlands,NLD,https://crests.football-data.org/8601.svg,2003,Eredivisie,DED,LEAGUE,https://crests.football-data.org/ED.png,1590,2023-08-11,2024-05-19,34,674,PSV,PSV,PSV,https://crests.football-data.org/674.png,Fredriklaan 10a Eindhoven 5616 NH,http://www.psv.nl,1913,Red / White,Philips Stadion,2022-03-06T09:30:40Z,671,Heracles Almelo,Heracles,HER,https://crests.football-data.org/671.png,1915,NEC,NEC,NEC,https://crests.football-data.org/1915.png,HOME_TEAM,REGULAR,2,1,0,1,Activate Odds-Package in User-Panel to retrieve odds.,2003,DED,Eredivisie,2023
