nation,pos,age,born,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
WAL,MF,25,1990,13.7,1,42,12,28.6,3.06,0.87,0.02,0.08,,,0,0,,,,,
ENG,"DF,FW",18,1997,0.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
NGA,"FW,MF",20,1996,16.2,3,39,11,28.2,2.41,0.68,0.08,0.27,,,0,0,,,,,
ENG,"FW,MF",22,1993,17.4,2,28,8,28.6,1.61,0.46,0.07,0.25,,,0,0,,,,,
CHI,"FW,MF",27,1988,35.7,24,129,49,38.0,3.61,1.37,0.17,0.45,,,2,3,,,,,
ENG,"DF,MF",21,1995,1.0,1,2,1,50.0,2.0,1.0,0.5,1.0,,,0,0,,,,,
ENG,DF,24,1992,0.9,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,"FW,MF",25,1990,8.3,2,20,9,45.0,2.41,1.08,0.1,0.22,,,0,0,,,,,
COL,GK,27,1988,1.6,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ARG,GK,23,1992,2.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
FRA,"DF,MF",25,1991,19.8,0,14,3,21.4,0.71,0.15,0.0,0.0,,,0,0,,,,,
BRA,DF,25,1990,16.9,0,9,2,22.2,0.53,0.12,0.0,0.0,,,0,0,,,,,
SUI,MF,23,1992,27.6,2,34,9,26.5,1.23,0.33,0.06,0.22,,,0,0,,,,,
ESP,"DF,MF",21,1995,27.8,1,22,5,22.7,0.79,0.18,0.05,0.2,,,0,0,,,,,
ENG,MF,24,1992,0.4,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,"DF,MF",26,1989,7.8,0,5,1,20.0,0.64,0.13,0.0,0.0,,,0,0,,,,,
FRA,DF,30,1985,31.4,2,9,4,44.4,0.29,0.13,0.22,0.5,,,0,0,,,,,
ESP,"FW,MF",27,1988,3.0,1,9,4,44.4,2.98,1.32,0.11,0.25,,,0,0,,,,,
FRA,DF,31,1985,0.2,0,0,0,,0.0,0.0,,,,,0,0,,,,,
GER,MF,27,1988,31.6,8,40,18,45.0,1.27,0.57,0.2,0.44,,,0,0,,,,,
EGY,MF,24,1992,7.7,0,15,2,13.3,1.95,0.26,0.0,0.0,,,0,0,,,,,
ESP,DF,30,1986,35.0,0,12,2,16.7,0.34,0.06,0.0,0.0,,,0,0,,,,,
FRA,FW,29,1986,13.4,12,40,20,50.0,2.99,1.49,0.3,0.6,,,0,0,,,,,
GER,DF,31,1984,0.4,0,0,0,,0.0,0.0,,,,,0,0,,,,,
CZE,GK,34,1982,34.4,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,DF,20,1995,9.0,0,6,2,33.3,0.67,0.22,0.0,0.0,,,0,0,,,,,
ESP,MF,31,1984,6.9,2,8,4,50.0,1.17,0.58,0.0,0.0,,,2,2,,,,,
GER,DF,24,1992,25.3,2,24,6,25.0,0.95,0.24,0.08,0.33,,,0,0,,,,,
ENG,"FW,MF",27,1989,21.3,10,61,29,47.5,2.87,1.36,0.16,0.34,,,0,1,,,,,
AUS,GK,31,1985,2.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,"DF,MF",25,1991,34.5,1,26,6,23.1,0.75,0.17,0.04,0.17,,,0,0,,,,,
ENG,MF,29,1986,20.0,0,8,2,25.0,0.4,0.1,0.0,0.0,,,0,0,,,,,
POL,GK,36,1980,35.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,DF,21,1995,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,
COD,FW,23,1993,16.2,6,39,18,46.2,2.4,1.11,0.15,0.33,,,0,1,,,,,
AUS,"DF,MF",22,1994,3.2,0,3,1,33.3,0.93,0.31,0.0,0.0,,,0,0,,,,,
ENG,FW,24,1992,15.1,6,31,12,38.7,2.06,0.8,0.1,0.25,,,3,3,,,,,
ENG,"DF,MF",29,1986,34.0,4,19,6,31.6,0.56,0.18,0.21,0.67,,,0,0,,,,,
ENG,"DF,MF",26,1990,15.2,2,16,4,25.0,1.05,0.26,0.13,0.5,,,0,0,,,,,
IRL,MF,26,1989,32.9,1,54,11,20.4,1.64,0.33,0.02,0.09,,,0,1,,,,,
ENG,MF,24,1992,21.2,0,27,10,37.0,1.27,0.47,0.0,0.0,,,0,0,,,,,
ENG,"FW,MF",20,1995,11.7,0,15,1,6.7,1.28,0.09,0.0,0.0,,,0,0,,,,,
NOR,"FW,MF",24,1992,30.1,16,68,31,45.6,2.26,1.03,0.21,0.45,,,2,3,,,,,
ENG,"FW,MF",26,1989,16.3,7,42,18,42.9,2.58,1.1,0.12,0.28,,,2,2,,,,,
ENG,MF,19,1997,4.8,0,5,2,40.0,1.04,0.42,0.0,0.0,,,0,0,,,,,
ENG,"FW,MF",28,1988,0.7,0,1,1,100.0,1.5,1.5,0.0,0.0,,,0,0,,,,,
FRA,"FW,MF",20,1996,3.0,0,10,3,30.0,3.33,1.0,0.0,0.0,,,0,0,,,,,
ENG,"FW,MF",29,1987,14.8,2,18,6,33.3,1.22,0.41,0.11,0.33,,,0,0,,,,,
ENG,"DF,MF",18,1997,0.2,0,0,0,,0.0,0.0,,,,,0,0,,,,,
CIV,"FW,MF",28,1987,1.5,0,5,2,40.0,3.36,1.34,0.0,0.0,,,0,0,,,,,
NED,"DF,MF",21,1995,8.2,3,6,4,66.7,0.73,0.49,0.5,0.75,,,0,0,,,,,
ENG,GK,24,1992,1.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
SCO,"FW,MF",22,1994,19.6,3,24,12,50.0,1.22,0.61,0.13,0.25,,,0,0,,,,,
ENG,DF,31,1985,32.7,0,7,0,0.0,0.21,0.0,0.0,,,,0,0,,,,,
ENG,"DF,MF",25,1991,38.0,2,27,9,33.3,0.71,0.24,0.07,0.22,,,0,0,,,,,
ENG,DF,23,1993,5.6,0,1,1,100.0,0.18,0.18,0.0,0.0,,,0,0,,,,,
AUS,MF,18,1998,0.9,0,1,0,0.0,1.06,0.0,0.0,,,,0,0,,,,,
JAM,FW,25,1991,25.1,9,47,19,40.4,1.87,0.76,0.15,0.37,,,2,2,,,,,
ENG,"FW,MF",26,1989,19.7,6,44,19,43.2,2.24,0.97,0.09,0.21,,,2,2,,,,,
ENG,MF,26,1990,6.1,0,2,0,0.0,0.33,0.0,0.0,,,,0,0,,,,,
ENG,DF,26,1989,33.5,1,16,6,37.5,0.48,0.18,0.06,0.17,,,0,0,,,,,
ENG,"FW,MF",19,1997,0.3,0,,0,,,0.0,,,,,0,0,,,,,
ENG,MF,31,1984,1.0,0,0,0,,0.0,0.0,,,,,0,0,,,,,
ENG,MF,32,1984,19.6,1,12,3,25.0,0.61,0.15,0.08,0.33,,,0,0,,,,,
SCO,"FW,MF",30,1985,31.5,2,34,7,20.6,1.08,0.22,0.06,0.29,,,0,0,,,,,
ENG,DF,23,1992,6.3,0,5,0,0.0,0.79,0.0,0.0,,,,0,0,,,,,
IRL,"FW,MF",24,1992,29.9,2,31,6,19.4,1.04,0.2,0.06,0.33,,,0,0,,,,,
