nation,pos,age,born,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err
,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,
WAL,MF,25,1990,13.7,,12,,,,,,,,,,,15,,,
ENG,"DF,FW",18,1997,0.0,,1,,,,,,,,,,,0,,,
NGA,"FW,MF",20,1996,16.2,,15,,,,,,,,,,,8,,,
ENG,"FW,MF",22,1993,17.4,,32,,,,,,,,,,,13,,,
CHI,"FW,MF",27,1988,35.7,,40,,,,,,,,,,,27,,,
ENG,"DF,MF",21,1995,1.0,,1,,,,,,,,,,,1,,,
ENG,DF,24,1992,0.9,,3,,,,,,,,,,,2,,,
ENG,"FW,MF",25,1990,8.3,,5,,,,,,,,,,,6,,,
COL,GK,27,1988,1.6,,0,,,,,,,,,,,0,,,
ARG,GK,23,1992,2.0,,0,,,,,,,,,,,0,,,
FRA,"DF,MF",25,1991,19.8,,44,,,,,,,,,,,52,,,
BRA,DF,25,1990,16.9,,16,,,,,,,,,,,32,,,
SUI,MF,23,1992,27.6,,55,,,,,,,,,,,44,,,
ESP,"DF,MF",21,1995,27.8,,22,,,,,,,,,,,39,,,
ENG,MF,24,1992,0.4,,2,,,,,,,,,,,1,,,
ENG,"DF,MF",26,1989,7.8,,7,,,,,,,,,,,10,,,
FRA,DF,30,1985,31.4,,42,,,,,,,,,,,90,,,
ESP,"FW,MF",27,1988,3.0,,4,,,,,,,,,,,2,,,
FRA,DF,31,1985,0.2,,0,,,,,,,,,,,1,,,
GER,MF,27,1988,31.6,,22,,,,,,,,,,,16,,,
EGY,MF,24,1992,7.7,,14,,,,,,,,,,,8,,,
ESP,DF,30,1986,35.0,,64,,,,,,,,,,,89,,,
FRA,FW,29,1986,13.4,,9,,,,,,,,,,,7,,,
GER,DF,31,1984,0.4,,1,,,,,,,,,,,1,,,
CZE,GK,34,1982,34.4,,0,,,,,,,,,,,1,,,
ENG,DF,20,1995,9.0,,9,,,,,,,,,,,11,,,
ESP,MF,31,1984,6.9,,2,,,,,,,,,,,8,,,
GER,DF,24,1992,25.3,,43,,,,,,,,,,,61,,,
ENG,"FW,MF",27,1989,21.3,,27,,,,,,,,,,,13,,,
AUS,GK,31,1985,2.0,,0,,,,,,,,,,,0,,,
ENG,"DF,MF",25,1991,34.5,,60,,,,,,,,,,,55,,,
ENG,MF,29,1986,20.0,,11,,,,,,,,,,,39,,,
POL,GK,36,1980,35.0,,0,,,,,,,,,,,1,,,
ENG,DF,21,1995,0.1,,1,,,,,,,,,,,0,,,
COD,FW,23,1993,16.2,,9,,,,,,,,,,,6,,,
AUS,"DF,MF",22,1994,3.2,,3,,,,,,,,,,,3,,,
ENG,FW,24,1992,15.1,,6,,,,,,,,,,,5,,,
ENG,"DF,MF",29,1986,34.0,,40,,,,,,,,,,,51,,,
ENG,"DF,MF",26,1990,15.2,,40,,,,,,,,,,,26,,,
IRL,MF,26,1989,32.9,,66,,,,,,,,,,,50,,,
ENG,MF,24,1992,21.2,,18,,,,,,,,,,,14,,,
ENG,"FW,MF",20,1995,11.7,,11,,,,,,,,,,,10,,,
NOR,"FW,MF",24,1992,30.1,,41,,,,,,,,,,,22,,,
ENG,"FW,MF",26,1989,16.3,,11,,,,,,,,,,,9,,,
ENG,MF,19,1997,4.8,,9,,,,,,,,,,,7,,,
ENG,"FW,MF",28,1988,0.7,,1,,,,,,,,,,,0,,,
