nation,pos,age,born,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
,,,,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
WAL,MF,25,1990,13.7,,,,,,,,,,,,,,,,
ENG,"DF,FW",18,1997,0.0,,,,,,,,,,,,,,,,
NGA,"FW,MF",20,1996,16.2,,,,,,,,,,,,,,,,
ENG,"FW,MF",22,1993,17.4,,,,,,,,,,,,,,,,
CHI,"FW,MF",27,1988,35.7,,,,,,,,,,,,,,,,
ENG,"DF,MF",21,1995,1.0,,,,,,,,,,,,,,,,
ENG,DF,24,1992,0.9,,,,,,,,,,,,,,,,
ENG,"FW,MF",25,1990,8.3,,,,,,,,,,,,,,,,
COL,GK,27,1988,1.6,,,,,,,,,,,,,,,,
ARG,GK,23,1992,2.0,,,,,,,,,,,,,,,,
FRA,"DF,MF",25,1991,19.8,,,,,,,,,,,,,,,,
BRA,DF,25,1990,16.9,,,,,,,,,,,,,,,,
SUI,MF,23,1992,27.6,,,,,,,,,,,,,,,,
ESP,"DF,MF",21,1995,27.8,,,,,,,,,,,,,,,,
ENG,MF,24,1992,0.4,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1989,7.8,,,,,,,,,,,,,,,,
FRA,DF,30,1985,31.4,,,,,,,,,,,,,,,,
ESP,"FW,MF",27,1988,3.0,,,,,,,,,,,,,,,,
FRA,DF,31,1985,0.2,,,,,,,,,,,,,,,,
GER,MF,27,1988,31.6,,,,,,,,,,,,,,,,
EGY,MF,24,1992,7.7,,,,,,,,,,,,,,,,
ESP,DF,30,1986,35.0,,,,,,,,,,,,,,,,
FRA,FW,29,1986,13.4,,,,,,,,,,,,,,,,
GER,DF,31,1984,0.4,,,,,,,,,,,,,,,,
CZE,GK,34,1982,34.4,,,,,,,,,,,,,,,,
ENG,DF,20,1995,9.0,,,,,,,,,,,,,,,,
ESP,MF,31,1984,6.9,,,,,,,,,,,,,,,,
GER,DF,24,1992,25.3,,,,,,,,,,,,,,,,
ENG,"FW,MF",27,1989,21.3,,,,,,,,,,,,,,,,
AUS,GK,31,1985,2.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",25,1991,34.5,,,,,,,,,,,,,,,,
ENG,MF,29,1986,20.0,,,,,,,,,,,,,,,,
POL,GK,36,1980,35.0,,,,,,,,,,,,,,,,
ENG,DF,21,1995,0.1,,,,,,,,,,,,,,,,
COD,FW,23,1993,16.2,,,,,,,,,,,,,,,,
AUS,"DF,MF",22,1994,3.2,,,,,,,,,,,,,,,,
ENG,FW,24,1992,15.1,,,,,,,,,,,,,,,,
ENG,"DF,MF",29,1986,34.0,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1990,15.2,,,,,,,,,,,,,,,,
IRL,MF,26,1989,32.9,,,,,,,,,,,,,,,,
ENG,MF,24,1992,21.2,,,,,,,,,,,,,,,,
ENG,"FW,MF",20,1995,11.7,,,,,,,,,,,,,,,,
NOR,"FW,MF",24,1992,30.1,,,,,,,,,,,,,,,,
ENG,"FW,MF",26,1989,16.3,,,,,,,,,,,,,,,,
ENG,MF,19,1997,4.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",28,1988,0.7,,,,,,,,,,,,,,,,
FRA,"FW,MF",20,1996,3.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",29,1987,14.8,,,,,,,,,,,,,,,,
ENG,"DF,MF",18,1997,0.2,,,,,,,,,,,,,,,,
CIV,"FW,MF",28,1987,1.5,,,,,,,,,,,,,,,,
NED,"DF,MF",21,1995,8.2,,,,,,,,,,,,,,,,
ENG,GK,24,1992,1.0,,,,,,,,,,,,,,,,
SCO,"FW,MF",22,1994,19.6,,,,,,,,,,,,,,,,
ENG,DF,31,1985,32.7,,,,,,,,,,,,,,,,
ENG,"DF,MF",25,1991,38.0,,,,,,,,,,,,,,,,
ENG,DF,23,1993,5.6,,,,,,,,,,,,,,,,
AUS,MF,18,1998,0.9,,,,,,,,,,,,,,,,
JAM,FW,25,1991,25.1,,,,,,,,,,,,,,,,
ENG,"FW,MF",26,1989,19.7,,,,,,,,,,,,,,,,
ENG,MF,26,1990,6.1,,,,,,,,,,,,,,,,
ENG,DF,26,1989,33.5,,,,,,,,,,,,,,,,
ENG,"FW,MF",19,1997,0.3,,,,,,,,,,,,,,,,
ENG,MF,31,1984,1.0,,,,,,,,,,,,,,,,
ENG,MF,32,1984,19.6,,,,,,,,,,,,,,,,
SCO,"FW,MF",30,1985,31.5,,,,,,,,,,,,,,,,
ENG,DF,23,1992,6.3,,,,,,,,,,,,,,,,
IRL,"FW,MF",24,1992,29.9,,,,,,,,,,,,,,,,
ENG,MF,33,1982,12.3,,,,,,,,,,,,,,,,
ENG,DF,23,1993,4.0,,,,,,,,,,,,,,,,
ISL,"FW,MF",25,1990,11.1,,,,,,,,,,,,,,,,
IRL,DF,25,1990,3.0,,,,,,,,,,,,,,,,
ENG,FW,27,1989,0.1,,,,,,,,,,,,,,,,
ENG,DF,27,1989,36.0,,,,,,,,,,,,,,,,
ENG,DF,23,1993,35.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",30,1986,1.2,,,,,,,,,,,,,,,,
ENG,"FW,MF",22,1993,0.4,,,,,,,,,,,,,,,,
ENG,GK,36,1979,3.0,,,,,,,,,,,,,,,,
IRL,"DF,FW",24,1992,8.0,,,,,,,,,,,,,,,,
WAL,FW,26,1989,22.9,,,,,,,,,,,,,,,,
CAN,MF,27,1988,23.4,,,,,,,,,,,,,,,,
IRL,"DF,FW",30,1985,35.9,,,,,,,,,,,,,,,,
BEL,MF,28,1988,11.9,,,,,,,,,,,,,,,,
ENG,GK,30,1986,35.0,,,,,,,,,,,,,,,,
BIH,GK,29,1987,2.0,,,,,,,,,,,,,,,,
SRB,DF,32,1984,6.5,,,,,,,,,,,,,,,,
ESP,"FW,MF",29,1987,14.9,,,,,,,,,,,,,,,,
ESP,"DF,MF",26,1989,38.0,,,,,,,,,,,,,,,,
BRA,"DF,MF",29,1987,32.8,,,,,,,,,,,,,,,,
ESP,FW,27,1988,34.2,,,,,,,,,,,,,,,,
BEL,"FW,MF",25,1991,33.1,,,,,,,,,,,,,,,,
ENG,DF,30,1985,36.6,,,,,,,,,,,,,,,,
ENG,DF,35,1980,5.5,,,,,,,,,,,,,,,,
BRA,"FW,MF",20,1996,0.8,,,,,,,,,,,,,,,,
FRA,DF,21,1994,2.8,,,,,,,,,,,,,,,,
ESP,"DF,MF",25,1990,29.9,,,,,,,,,,,,,,,,
BEL,FW,22,1993,2.8,,,,,,,,,,,,,,,,
FRA,MF,25,1991,34.9,,,,,,,,,,,,,,,,
NED,"DF,MF",21,1995,1.1,,,,,,,,,,,,,,,,
ENG,"DF,MF",21,1994,1.9,,,,,,,,,,,,,,,,
SRB,MF,27,1988,29.9,,,,,,,,,,,,,,,,
NGA,"DF,MF",19,1996,0.3,,,,,,,,,,,,,,,,
BRA,"FW,MF",24,1991,5.1,,,,,,,,,,,,,,,,
ESP,"FW,MF",29,1987,23.8,,,,,,,,,,,,,,,,
ENG,MF,20,1996,0.4,,,,,,,,,,,,,,,,
BEL,GK,24,1992,36.0,,,,,,,,,,,,,,,,
NGA,"DF,FW",25,1990,27.6,,,,,,,,,,,,,,,,
BRA,"FW,MF",27,1988,17.0,,,,,,,,,,,,,,,,
ENG,"FW,MF",25,1991,28.0,,,,,,,,,,,,,,,,
MLI,"FW,MF",28,1988,1.6,,,,,,,,,,,,,,,,
BEL,FW,25,1990,34.8,,,,,,,,,,,,,,,,
ENG,"FW,MF",23,1993,4.6,,,,,,,,,,,,,,,,
IRL,DF,35,1981,22.4,,,,,,,,,,,,,,,,
ENG,FW,28,1987,1.8,,,,,,,,,,,,,,,,
SCO,MF,28,1987,22.2,,,,,,,,,,,,,,,,
ENG,"DF,MF",27,1989,21.9,,,,,,,,,,,,,,,,
ENG,MF,30,1986,34.3,,,,,,,,,,,,,,,,
GHA,"DF,FW",23,1992,11.1,,,,,,,,,,,,,,,,
WAL,MF,29,1987,12.9,,,,,,,,,,,,,,,,
ENG,"DF,MF",26,1989,38.0,,,,,,,,,,,,,,,,
BEL,FW,21,1995,0.1,,,,,,,,,,,,,,,,
ENG,MF,24,1991,0.6,,,,,,,,,,,,,,,,
