nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
WAL,MF,25,1990,23,1236,54,36.1,13.7,13,,10,10,,1,2.09,30,20,10,0.73,-0.22,,,,,
ENG,"DF,FW",18,1997,1,2,2,0.1,0.0,0,,0,1,,7,3.0,0,0,0,0.0,-0.87,,,,,
NGA,"FW,MF",20,1996,26,1456,56,42.6,16.2,18,,4,8,,9,1.88,28,20,8,0.49,-0.65,,,,,
ENG,"FW,MF",22,1993,29,1564,54,45.7,17.4,16,,6,13,,4,1.72,37,22,15,0.86,-0.01,,,,,
CHI,"FW,MF",27,1988,38,3217,85,94.1,35.7,36,,28,2,,0,1.97,74,41,33,0.92,0.92,,,,,
ENG,"DF,MF",21,1995,1,90,90,2.6,1.0,1,,1,0,,2,0.0,3,4,-1,-1.0,-1.92,,,,,
ENG,DF,24,1992,1,82,82,2.4,0.9,1,,0,0,,1,1.0,0,1,-1,-1.1,-2.01,,,,,
ENG,"FW,MF",20,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG,"FW,MF",25,1990,16,748,47,21.9,8.3,8,,2,8,,0,1.94,18,11,7,0.84,-0.03,,,,,
COL,GK,27,1988,2,143,72,4.2,1.6,1,,1,1,,32,0.5,2,4,-2,-1.26,-2.22,,,,,
ARG,GK,23,1992,2,180,90,5.3,2.0,2,,2,0,,3,1.5,3,3,0,0.0,-0.92,,,,,
FRA,"DF,MF",25,1991,29,1779,61,52.0,19.8,22,,9,7,,6,1.97,37,27,10,0.51,-0.76,,,,,
BRA,DF,25,1990,19,1517,80,44.4,16.9,15,,13,4,,13,1.84,35,18,17,1.01,0.25,,,,,
SUI,MF,23,1992,32,2485,78,72.7,27.6,28,,21,4,,1,2.03,58,31,27,0.98,0.4,,,,,
ESP,"DF,MF",21,1995,33,2503,76,73.2,27.8,27,,26,6,,1,1.97,57,34,23,0.83,-0.15,,,,,
ENG,MF,24,1992,2,39,20,1.1,0.4,0,,0,2,,1,2.0,0,0,0,0.0,-0.88,,,,,
FRA,"FW,MF",18,1998,0,,,,,0,,0,0,,7,,,,,,,,,,,
ENG,"DF,MF",26,1989,11,702,64,20.5,7.8,8,,5,3,,20,2.73,10,3,7,0.9,0.04,,,,,
FRA,DF,30,1985,33,2822,86,82.5,31.4,33,,30,0,,0,2.0,61,36,25,0.8,-0.41,,,,,
ESP,"FW,MF",27,1988,11,272,25,8.0,3.0,2,,0,9,,6,1.82,9,2,7,2.32,1.57,,,,,
FRA,DF,31,1985,1,15,15,0.4,0.2,1,,0,0,,0,3.0,1,0,1,6.0,5.15,,,,,
ENG,GK,21,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,
GER,MF,27,1988,33,2841,86,83.1,31.6,32,,24,1,,0,2.15,66,30,36,1.14,1.61,,,,,
