nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
COL,GK,27,1988,1.6,4,0,,,,,,,,,,,,,,,,,,,,,,,
ARG,GK,23,1992,2.0,3,1,,,,,,,,,,,,,,,,,,,,,,,
CZE,GK,34,1982,34.4,37,9,,,,,,,,,,,,,,,,,,,,,,,
AUS,GK,31,1985,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,
POL,GK,36,1980,35.0,63,2,,,,,,,,,,,,,,,,,,,,,,,
ENG,GK,24,1992,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,
ENG,GK,36,1979,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,
ENG,GK,30,1986,35.0,48,4,,,,,,,,,,,,,,,,,,,,,,,
BIH,GK,29,1987,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,
BEL,GK,24,1992,36.0,28,2,,,,,,,,,,,,,,,,,,,,,,,
FRA,GK,31,1985,9.0,17,0,,,,,,,,,,,,,,,,,,,,,,,
WAL,GK,29,1987,29.0,46,2,,,,,,,,,,,,,,,,,,,,,,,
ESP,GK,26,1990,19.3,20,2,,,,,,,,,,,,,,,,,,,,,,,
NED,GK,33,1982,18.7,24,1,,,,,,,,,,,,,,,,,,,,,,,
SCO,GK,31,1985,16.0,44,7,,,,,,,,,,,,,,,,,,,,,,,
SUI,GK,31,1984,22.0,36,4,,,,,,,,,,,,,,,,,,,,,,,
DEN,GK,29,1986,29.6,47,3,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,27,1989,8.4,16,0,,,,,,,,,,,,,,,,,,,,,,,
GER,GK,23,1993,10.0,12,1,,,,,,,,,,,,,,,,,,,,,,,
BEL,GK,28,1988,28.0,30,2,,,,,,,,,,,,,,,,,,,,,,,
CHI,GK,33,1983,21.9,26,0,,,,,,,,,,,,,,,,,,,,,,,
ARG,GK,34,1981,16.1,13,2,,,,,,,,,,,,,,,,,,,,,,,
ESP,GK,25,1990,35.0,29,4,,,,,,,,,,,,,,,,,,,,,,,
POR,GK,20,1996,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
ARG,GK,29,1987,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,
USA,GK,31,1984,10.0,17,1,,,,,,,,,,,,,,,,,,,,,,,
ESP,GK,34,1982,28.0,36,3,,,,,,,,,,,,,,,,,,,,,,,
