nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
WAL,MF,25,1990,13.7,3,0,0,15,20,2,21,15,12,0,0,0,,,,
ENG,"DF,FW",18,1997,0.0,0,0,0,0,0,0,0,0,1,0,0,0,,,,
NGA,"FW,MF",20,1996,16.2,1,0,0,7,13,3,19,8,15,0,0,0,,,,
ENG,"FW,MF",22,1993,17.4,1,0,0,30,18,1,68,13,32,0,0,0,,,,
CHI,"FW,MF",27,1988,35.7,6,0,0,48,71,27,65,27,40,1,0,0,,,,
ENG,"DF,MF",21,1995,1.0,0,0,0,0,2,0,0,1,1,0,0,0,,,,
ENG,DF,24,1992,0.9,0,0,0,1,1,0,3,2,3,0,0,0,,,,
ENG,"FW,MF",25,1990,8.3,0,0,0,7,9,2,2,6,5,0,0,0,,,,
COL,GK,27,1988,1.6,0,0,0,0,1,0,0,0,0,0,0,0,,,,
ARG,GK,23,1992,2.0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
FRA,"DF,MF",25,1991,19.8,5,0,0,33,40,0,5,52,44,0,1,0,,,,
BRA,DF,25,1990,16.9,6,0,0,19,11,0,8,32,16,0,1,0,,,,
SUI,MF,23,1992,27.6,5,2,0,37,19,1,26,44,55,0,2,0,,,,
ESP,"DF,MF",21,1995,27.8,4,0,0,20,15,0,69,39,22,0,0,0,,,,
ENG,MF,24,1992,0.4,1,0,0,2,3,0,1,1,2,0,0,0,,,,
ENG,"DF,MF",26,1989,7.8,3,0,0,11,1,0,31,10,7,0,0,0,,,,
FRA,DF,30,1985,31.4,4,1,0,19,26,2,3,90,42,1,1,0,,,,
ESP,"FW,MF",27,1988,3.0,0,0,0,3,2,0,9,2,4,0,0,0,,,,
FRA,DF,31,1985,0.2,0,0,0,0,0,0,0,1,0,0,0,0,,,,
GER,MF,27,1988,31.6,2,0,0,13,33,22,186,16,22,0,0,0,,,,
EGY,MF,24,1992,7.7,1,0,0,10,5,0,8,8,14,0,0,0,,,,
ESP,DF,30,1986,35.0,5,0,0,33,36,8,63,89,64,0,1,0,,,,
FRA,FW,29,1986,13.4,2,0,0,21,12,12,3,7,9,1,0,0,,,,
GER,DF,31,1984,0.4,0,0,0,0,1,0,0,1,1,0,0,0,,,,
CZE,GK,34,1982,34.4,2,0,0,0,2,0,0,1,0,0,2,1,,,,
ENG,DF,20,1995,9.0,3,0,0,10,2,0,2,11,9,0,1,0,,,,
ESP,MF,31,1984,6.9,2,0,0,4,2,1,39,8,2,0,0,0,,,,
GER,DF,24,1992,25.3,11,0,0,36,16,1,20,61,43,0,0,0,,,,
ENG,"FW,MF",27,1989,21.3,1,0,0,15,29,17,50,13,27,1,0,0,,,,
AUS,GK,31,1985,2.0,1,0,0,0,0,0,0,0,0,0,0,0,,,,
ENG,"DF,MF",25,1991,34.5,6,0,0,44,70,3,57,55,60,0,1,1,,,,
ENG,MF,29,1986,20.0,3,1,1,16,18,0,6,39,11,0,0,0,,,,
POL,GK,36,1980,35.0,2,0,0,0,6,0,0,1,0,0,0,0,,,,
ENG,DF,21,1995,0.1,0,0,0,0,0,0,0,0,1,0,0,0,,,,
COD,FW,23,1993,16.2,1,0,0,22,13,14,3,6,9,0,0,0,,,,
AUS,"DF,MF",22,1994,3.2,1,0,0,2,3,0,5,3,3,0,0,0,,,,
ENG,FW,24,1992,15.1,0,0,0,29,26,18,10,5,6,2,0,0,,,,
ENG,"DF,MF",29,1986,34.0,1,0,0,12,27,0,87,51,40,1,1,0,,,,
ENG,"DF,MF",26,1990,15.2,6,0,0,26,31,1,7,26,40,0,0,0,,,,
IRL,MF,26,1989,32.9,13,1,1,37,46,0,22,50,66,0,0,0,,,,
ENG,MF,24,1992,21.2,3,0,0,19,49,0,27,14,18,0,0,0,,,,
ENG,"FW,MF",20,1995,11.7,0,0,0,7,13,1,43,10,11,0,0,0,,,,
NOR,"FW,MF",24,1992,30.1,1,0,0,58,43,6,42,22,41,0,0,0,,,,
ENG,"FW,MF",26,1989,16.3,1,0,0,8,9,5,70,9,11,0,0,0,,,,
ENG,MF,19,1997,4.8,1,0,0,3,3,0,2,7,9,0,0,0,,,,
ENG,"FW,MF",28,1988,0.7,0,0,0,1,0,0,1,0,1,0,0,0,,,,
FRA,"FW,MF",20,1996,3.0,0,0,0,6,5,1,3,0,1,0,0,1,,,,
ENG,"FW,MF",29,1987,14.8,1,0,0,7,21,1,40,13,13,3,0,0,,,,
ENG,"DF,MF",18,1997,0.2,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CIV,"FW,MF",28,1987,1.5,3,0,0,4,1,2,8,3,4,0,0,0,,,,
NED,"DF,MF",21,1995,8.2,0,0,0,3,3,0,2,9,14,0,0,0,,,,
ENG,GK,24,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SCO,"FW,MF",22,1994,19.6,3,0,0,18,64,2,127,13,13,5,0,0,,,,
ENG,DF,31,1985,32.7,4,1,0,27,20,0,67,56,51,0,2,0,,,,
ENG,"DF,MF",25,1991,38.0,5,0,0,16,16,0,12,83,33,0,0,0,,,,
ENG,DF,23,1993,5.6,0,0,0,7,5,0,1,6,10,0,0,2,,,,
AUS,MF,18,1998,0.9,0,0,0,1,0,0,1,1,1,0,0,0,,,,
JAM,FW,25,1991,25.1,2,0,0,17,17,36,28,5,4,0,0,0,,,,
ENG,"FW,MF",26,1989,19.7,8,2,1,54,75,21,9,5,18,1,0,0,,,,
ENG,MF,26,1990,6.1,3,0,0,8,1,0,2,5,6,0,0,0,,,,
ENG,DF,26,1989,33.5,5,0,0,23,28,1,6,74,31,1,2,2,,,,
ENG,"FW,MF",19,1997,0.3,0,0,,1,,,,,,,,,,,,
ENG,MF,31,1984,1.0,1,0,0,1,0,0,11,1,0,0,0,0,,,,
ENG,MF,32,1984,19.6,7,0,0,34,20,0,7,28,28,0,0,0,,,,
SCO,"FW,MF",30,1985,31.5,3,0,0,32,29,8,42,35,68,0,0,0,,,,
ENG,DF,23,1992,6.3,1,0,0,10,9,2,3,10,13,0,0,0,,,,
IRL,"FW,MF",24,1992,29.9,6,1,0,42,37,4,17,44,15,0,0,0,,,,
ENG,MF,33,1982,12.3,4,0,0,20,17,0,11,27,35,0,0,0,,,,
ENG,DF,23,1993,4.0,2,0,0,9,2,0,5,14,14,0,0,0,,,,
ISL,"FW,MF",25,1990,11.1,1,0,0,3,9,1,71,20,17,0,1,0,,,,
IRL,DF,25,1990,3.0,0,0,0,1,3,0,0,3,4,0,0,0,,,,
ENG,FW,27,1989,0.1,0,0,0,1,1,0,0,0,0,0,0,0,,,,
ENG,DF,27,1989,36.0,9,0,0,34,23,0,116,70,71,0,1,0,,,,
ENG,DF,23,1993,35.0,4,0,0,16,11,1,7,66,28,0,1,0,,,,
ENG,"FW,MF",30,1986,1.2,0,0,0,3,2,0,14,0,4,0,0,0,,,,
ENG,"FW,MF",22,1993,0.4,0,0,0,1,2,1,0,0,0,0,0,0,,,,
ENG,GK,36,1979,3.0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
IRL,"DF,FW",24,1992,8.0,1,0,0,8,16,0,63,12,14,0,0,0,,,,
WAL,FW,26,1989,22.9,0,0,0,24,29,23,7,5,8,1,0,0,,,,
CAN,MF,27,1988,23.4,3,0,0,37,18,3,71,34,27,1,0,0,,,,
IRL,"DF,FW",30,1985,35.9,5,0,0,34,56,0,115,75,49,0,0,0,,,,
BEL,MF,28,1988,11.9,1,0,0,14,8,2,70,33,16,0,0,0,,,,
ENG,GK,30,1986,35.0,1,0,0,0,1,0,0,2,2,0,0,0,,,,
BIH,GK,29,1987,2.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
SRB,DF,32,1984,6.5,2,0,0,8,8,2,23,11,11,0,0,0,,,,
ESP,"FW,MF",29,1987,14.9,8,0,0,23,18,0,85,14,27,0,0,0,,,,
ESP,"DF,MF",26,1989,38.0,4,0,0,28,24,2,43,71,66,1,0,0,,,,
BRA,"DF,MF",29,1987,32.8,6,0,0,29,30,3,7,69,27,0,0,0,,,,
ESP,FW,27,1988,34.2,10,0,0,42,92,26,9,9,11,1,0,0,,,,
BEL,"FW,MF",25,1991,33.1,3,0,0,19,101,8,87,28,14,1,0,0,,,,
ENG,DF,30,1985,36.6,5,0,0,34,25,2,1,48,41,0,1,1,,,,
ENG,DF,35,1980,5.5,1,0,0,5,3,0,3,5,2,0,0,0,,,,
BRA,"FW,MF",20,1996,0.8,0,0,0,1,1,0,1,2,0,0,0,0,,,,
FRA,DF,21,1994,2.8,0,0,0,2,2,0,2,5,6,0,0,0,,,,
ESP,"DF,MF",25,1990,29.9,2,0,0,25,20,3,102,43,38,0,0,0,,,,
BEL,FW,22,1993,2.8,0,0,0,9,4,4,2,2,2,0,0,0,,,,
FRA,MF,25,1991,34.9,9,0,0,54,16,0,12,83,84,0,0,0,,,,
NED,"DF,MF",21,1995,1.1,1,0,0,1,0,0,0,2,3,0,0,0,,,,
ENG,"DF,MF",21,1994,1.9,2,0,0,2,1,0,0,2,4,0,0,0,,,,
SRB,MF,27,1988,29.9,4,0,0,33,26,2,8,55,40,0,0,0,,,,
NGA,"DF,MF",19,1996,0.3,0,0,0,0,1,0,0,0,0,0,0,0,,,,
BRA,"FW,MF",24,1991,5.1,1,0,0,5,5,0,15,5,16,0,0,0,,,,
ESP,"FW,MF",29,1987,23.8,6,0,0,32,40,8,72,21,36,1,0,0,,,,
ENG,MF,20,1996,0.4,0,0,0,2,0,0,0,0,0,0,0,0,,,,
BEL,GK,24,1992,36.0,1,0,0,0,2,0,0,0,0,0,1,0,,,,
NGA,"DF,FW",25,1990,27.6,4,0,0,28,32,3,119,41,42,0,0,0,,,,
BRA,"FW,MF",27,1988,17.0,3,0,0,12,23,2,106,7,12,0,0,0,,,,
ENG,"FW,MF",25,1991,28.0,4,0,0,19,35,3,236,44,64,1,0,0,,,,
MLI,"FW,MF",28,1988,1.6,0,0,0,2,5,1,16,0,6,0,0,0,,,,
BEL,FW,25,1990,34.8,10,0,0,81,51,37,1,7,6,3,0,0,,,,
ENG,"FW,MF",23,1993,4.6,1,0,0,12,5,1,6,2,2,0,0,0,,,,
IRL,DF,35,1981,22.4,8,0,0,25,14,1,5,43,22,0,1,0,,,,
ENG,FW,28,1987,1.8,0,0,0,2,3,0,2,1,1,0,0,0,,,,
SCO,MF,28,1987,22.2,5,0,0,41,27,4,27,26,45,0,0,0,,,,
ENG,"DF,MF",27,1989,21.9,4,0,0,11,11,0,4,38,19,0,0,0,,,,
ENG,MF,30,1986,34.3,9,0,0,61,37,1,149,40,61,0,0,0,,,,
GHA,"DF,FW",23,1992,11.1,0,0,0,4,9,0,12,26,21,1,0,0,,,,
WAL,MF,29,1987,12.9,1,0,0,9,10,0,7,28,16,0,0,0,,,,
ENG,"DF,MF",26,1989,38.0,7,0,0,36,53,0,79,64,67,0,0,0,,,,
BEL,FW,21,1995,0.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
ENG,MF,24,1991,0.6,0,0,0,1,1,0,3,0,2,0,0,0,,,,
KOR,"FW,MF",28,1988,5.2,0,0,0,5,11,0,14,4,14,0,0,0,,,,
FRA,FW,29,1987,1.5,0,0,0,2,1,1,6,0,0,0,0,0,,,,
SRB,MF,25,1991,13.6,4,0,0,27,16,0,6,41,18,0,0,0,,,,
FRA,DF,26,1990,7.6,0,0,0,1,4,0,1,14,1,0,0,0,,,,
ENG,"DF,MF",26,1990,23.6,4,0,0,18,9,0,36,26,34,0,0,0,,,,
FRA,MF,32,1984,3.0,0,0,0,1,0,0,1,5,2,0,0,0,,,,
AUS,MF,31,1984,1.0,0,0,0,4,2,0,1,1,2,0,0,0,,,,
SEN,DF,26,1990,3.0,0,0,0,1,4,0,15,10,4,0,0,0,,,,
NED,DF,25,1990,7.9,1,0,0,3,2,0,22,14,5,0,0,0,,,,
ENG,DF,29,1987,19.4,2,0,0,13,13,0,3,32,11,0,1,0,,,,
FRA,GK,31,1985,9.0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
SLE,"FW,MF",20,1995,0.3,0,0,0,0,0,0,2,0,0,0,0,0,,,,
WAL,GK,29,1987,29.0,1,0,0,0,3,0,0,1,2,0,0,0,,,,
CIV,"FW,MF",23,1992,33.5,8,0,0,56,120,6,106,34,56,1,0,0,,,,
COD,"FW,MF",27,1989,0.3,1,0,0,1,0,0,2,0,0,0,0,0,,,,
FRA,MF,30,1986,23.6,7,0,0,31,21,2,109,72,39,0,0,0,,,,
ENG,DF,23,1992,2.1,0,0,0,4,2,0,9,2,1,0,0,0,,,,
ENG,"FW,MF",29,1987,5.7,0,0,0,2,3,0,11,5,12,0,0,0,,,,
NGA,"FW,MF",18,1997,3.2,0,0,0,4,7,2,1,2,4,0,0,0,,,,
CIV,FW,32,1983,0.8,0,0,0,0,0,0,0,0,0,0,0,0,,,,
WAL,DF,31,1984,35.1,7,1,0,37,14,3,2,57,43,1,1,0,,,,
CRC,"DF,MF",26,1990,5.3,3,0,0,8,2,1,6,6,14,0,0,0,,,,
ENG,"FW,MF",19,1997,3.9,1,0,0,4,7,1,0,3,4,0,0,0,,,,
ECU,"FW,MF",26,1989,8.0,1,0,0,17,14,4,21,8,13,1,0,0,,,,
ENG,MF,35,1981,23.4,10,0,0,47,25,2,20,39,49,0,0,0,,,,
ESP,"FW,MF",22,1994,5.1,1,0,0,2,3,10,37,4,5,0,0,0,,,,
SEN,MF,26,1989,29.8,11,0,0,51,53,0,13,77,103,1,0,0,,,,
IRL,MF,25,1990,6.8,2,0,0,10,9,0,4,11,12,0,0,0,,,,
