players_used,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,url
,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,
29,38,73,568,201,35.4,14.95,5.29,0.12,0.34,,4,6,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,38,53,452,160,35.4,11.89,4.21,0.1,0.29,,7,10,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,38,39,388,121,31.2,10.21,3.18,0.09,0.27,,6,6,/en/squads/943e8050/2016-2017/Burnley-Stats
24,38,83,582,205,35.2,15.32,5.39,0.14,0.4,,2,4,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,38,48,441,137,31.1,11.61,3.61,0.1,0.32,,4,7,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,38,58,500,192,38.4,13.16,5.05,0.11,0.29,,3,4,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,38,36,396,126,31.8,10.42,3.32,0.08,0.26,,3,3,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,38,46,435,145,33.3,11.45,3.82,0.1,0.29,,4,6,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,38,77,639,236,36.9,16.82,6.21,0.11,0.3,,7,8,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,38,75,633,215,34.0,16.66,5.66,0.11,0.32,,7,9,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,38,54,589,207,35.1,15.5,5.45,0.09,0.25,,3,4,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,38,26,349,98,28.1,9.18,2.58,0.07,0.24,,2,2,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,38,39,549,179,32.6,14.45,4.71,0.07,0.2,,3,6,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,38,37,426,135,31.7,11.21,3.55,0.08,0.24,,4,6,/en/squads/17892952/2016-2017/Stoke-City-Stats
