players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,
29,38,69,0,0,394,390,99,701,558,492,4,10,1,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,38,56,2,2,372,492,54,642,481,466,11,4,4,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,38,67,1,1,428,415,103,676,569,473,4,5,2,/en/squads/943e8050/2016-2017/Burnley-Stats
24,38,72,0,0,394,474,65,697,523,482,4,2,1,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,38,79,0,0,471,470,57,880,575,521,6,2,0,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,38,74,1,1,457,419,83,775,472,557,3,5,1,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,38,67,0,0,403,390,71,748,587,474,2,14,5,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,38,73,0,0,447,332,65,735,559,508,5,4,2,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,38,54,0,0,396,383,78,815,425,540,5,5,0,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,38,71,0,0,395,427,93,810,527,476,9,5,1,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,38,80,1,1,498,443,102,852,610,507,2,5,1,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,38,79,1,1,480,399,51,735,570,558,2,5,0,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,38,61,1,1,426,415,75,960,539,507,5,9,0,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,38,72,1,1,434,440,87,725,528,489,5,2,5,/en/squads/17892952/2016-2017/Stoke-City-Stats
31,38,84,3,3,437,392,80,633,574,495,3,4,2,/en/squads/8ef52968/2016-2017/Sunderland-Stats
27,38,56,0,0,399,425,50,867,471,481,3,10,5,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
24,38,62,0,0,431,463,74,763,331,512,9,2,1,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
33,38,90,3,3,514,417,63,696,532,468,3,4,2,/en/squads/2abfe087/2016-2017/Watford-Stats
23,38,80,0,0,448,343,61,770,564,441,0,3,1,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
29,38,86,4,4,408,461,80,759,634,452,4,8,0,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
25,38,120,5,3,548,485,92,643,565,558,4,6,2,/en/squads/8d6fd021/2016-2017/Alaves-Stats
25,38,89,2,1,528,529,76,912,593,581,6,3,0,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats
22,38,85,3,3,510,474,117,660,645,600,7,4,0,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats
25,38,75,1,1,427,577,118,551,445,463,8,0,2,/en/squads/206d90db/2016-2017/Barcelona-Stats
27,38,106,5,3,583,576,87,645,593,560,2,5,0,/en/squads/fc536746/2016-2017/Real-Betis-Stats
27,38,111,8,6,516,516,101,481,627,550,6,10,2,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats
24,38,96,7,2,522,385,92,920,676,526,6,6,1,/en/squads/bea5c710/2016-2017/Eibar-Stats
27,38,82,2,2,572,497,62,674,607,583,3,2,1,/en/squads/a8661628/2016-2017/Espanyol-Stats
35,38,116,6,4,559,442,62,623,620,477,1,4,1,/en/squads/a0435291/2016-2017/Granada-Stats
28,38,97,4,2,546,523,69,879,563,531,7,3,2,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats
29,38,106,6,4,471,632,88,462,523,440,6,11,1,/en/squads/0049d422/2016-2017/Las-Palmas-Stats
31,38,107,3,1,648,475,90,663,671,546,4,7,0,/en/squads/7c6f2c78/2016-2017/Leganes-Stats
29,38,116,7,5,560,528,87,792,663,562,5,9,0,/en/squads/1c896955/2016-2017/Malaga-Stats
35,38,100,3,1,574,415,76,648,677,545,5,10,3,/en/squads/03c57e2b/2016-2017/Osasuna-Stats
24,38,76,2,0,434,544,137,857,517,572,5,4,1,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats
27,38,89,6,5,536,589,84,829,603,456,7,7,2,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats
28,38,109,4,2,589,524,126,661,522,521,5,5,1,/en/squads/ad2be733/2016-2017/Sevilla-Stats
29,38,116,4,2,574,498,78,676,552,517,7,9,2,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats
31,38,114,6,3,556,569,90,668,628,621,5,13,2,/en/squads/dcc91a7b/2016-2017/Valencia-Stats
27,38,91,4,1,523,500,84,514,567,505,7,6,0,/en/squads/2a8183b3/2016-2017/Villarreal-Stats
29,38,60,1,1,435,386,55,732,570,496,4,2,4,/en/squads/69236f98/2016-2017/Angers-Stats
29,38,85,7,7,445,501,50,580,608,472,1,8,2,/en/squads/6283be2c/2016-2017/Bastia-Stats
27,38,67,1,1,441,501,103,690,516,563,6,4,2,/en/squads/123f3efe/2016-2017/Bordeaux-Stats
27,38,61,1,1,439,457,57,963,693,556,6,8,2,/en/squads/74229020/2016-2017/Caen-Stats
27,38,74,3,3,493,472,80,698,628,600,3,11,1,/en/squads/8dfb7350/2016-2017/Dijon-Stats
25,38,63,3,3,501,506,101,735,576,480,4,11,1,/en/squads/d41b5f53/2016-2017/Guingamp-Stats
31,38,64,3,3,540,533,57,685,583,465,8,6,1,/en/squads/cb188c0c/2016-2017/Lille-Stats
30,38,68,0,0,439,383,73,770,595,431,4,6,2,/en/squads/d2c87802/2016-2017/Lorient-Stats
27,38,65,2,2,503,523,103,655,498,531,11,6,1,/en/squads/d53c0b06/2016-2017/Lyon-Stats
27,38,71,1,1,520,386,105,693,596,538,4,2,1,/en/squads/5725cc7b/2016-2017/Marseille-Stats
31,38,75,,2,515,436,91,698,697,502,9,7,1,/en/squads/f83960ae/2016-2017/Metz-Stats
29,38,53,1,1,465,449,84,949,534,525,11,5,0,/en/squads/fd6114db/2016-2017/Monaco-Stats
32,38,48,2,2,401,455,66,821,595,467,1,8,2,/en/squads/281b0e73/2016-2017/Montpellier-Stats
27,38,78,1,1,499,459,127,685,659,525,1,9,2,/en/squads/e88fc6e5/2016-2017/Nancy-Stats
27,38,78,1,1,543,395,108,814,524,642,4,9,1,/en/squads/d7a486cd/2016-2017/Nantes-Stats
27,38,60,1,1,424,572,75,411,434,472,8,5,1,/en/squads/132ebc33/2016-2017/Nice-Stats
28,38,54,1,1,404,409,129,909,521,478,10,3,1,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats
31,38,59,,1,460,418,80,672,499,523,3,4,1,/en/squads/b3072e00/2016-2017/Rennes-Stats
34,38,58,,2,484,449,95,761,641,502,6,4,0,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats
30,38,90,,1,558,470,47,639,554,536,9,9,0,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats
28,34,71,2,2,481,441,68,426,794,512,4,4,1,/en/squads/0cdc4311/2016-2017/Augsburg-Stats
22,34,47,0,0,351,411,92,661,686,421,4,3,0,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats
31,34,76,5,5,496,450,87,446,688,484,6,8,2,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats
27,34,57,,1,334,550,81,468,566,432,5,2,1,/en/squads/add600ae/2016-2017/Dortmund-Stats
26,34,86,1,1,527,468,69,518,849,436,5,4,1,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats
25,34,56,0,0,429,468,58,351,566,471,8,6,0,/en/squads/a486e511/2016-2017/Freiburg-Stats
24,34,50,2,2,411,445,88,396,655,518,2,5,0,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats
29,34,77,2,2,549,456,79,501,737,553,2,6,1,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats
26,34,67,2,2,471,482,55,426,676,457,5,5,1,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats
23,34,63,0,0,502,518,84,417,676,424,5,3,2,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats
22,34,75,3,3,538,549,77,559,733,500,7,9,2,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats
26,34,74,1,1,466,472,95,410,729,484,4,4,1,/en/squads/bc357bf7/2016-2017/Koln-Stats
24,34,56,3,3,462,399,78,407,708,516,7,3,1,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats
28,34,73,3,3,480,477,107,491,787,472,7,4,0,/en/squads/a224b06a/2016-2017/Mainz-05-Stats
23,34,68,1,1,508,471,120,429,770,582,4,5,1,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats
29,34,69,0,0,494,441,96,566,805,450,4,10,1,/en/squads/c539e393/2016-2017/Schalke-04-Stats
31,34,67,0,0,452,515,58,371,718,438,6,11,1,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats
31,34,69,2,2,498,486,61,548,701,438,3,5,1,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats
32,38,90,2,2,600,555,80,863,698,491,6,4,1,/en/squads/922493f3/2016-2017/Atalanta-Stats
28,38,87,2,2,485,519,96,627,605,534,1,5,2,/en/squads/1d8099f8/2016-2017/Bologna-Stats
34,38,104,3,3,543,505,99,553,574,556,7,12,2,/en/squads/c4260e09/2016-2017/Cagliari-Stats
29,38,88,3,3,565,535,103,722,536,463,6,6,1,/en/squads/cc919b35/2016-2017/Chievo-Stats
31,38,93,3,3,584,478,111,748,620,533,3,10,0,/en/squads/3074d7b1/2016-2017/Crotone-Stats
29,38,107,0,0,535,609,94,752,529,471,4,11,2,/en/squads/a3d88bd8/2016-2017/Empoli-Stats
30,38,98,3,3,537,535,87,833,504,434,7,6,0,/en/squads/421387cf/2016-2017/Fiorentina-Stats
33,38,97,4,4,625,450,86,917,526,510,2,10,5,/en/squads/658bf2de/2016-2017/Genoa-Stats
29,38,81,3,3,540,516,81,1212,570,571,4,6,1,/en/squads/d609edc0/2016-2017/Internazionale-Stats
27,38,70,0,0,484,562,95,786,557,457,2,1,1,/en/squads/e0652b02/2016-2017/Juventus-Stats
30,38,96,3,3,542,432,106,792,538,591,12,9,3,/en/squads/7213da33/2016-2017/Lazio-Stats
28,38,98,9,9,519,518,98,799,411,487,10,10,2,/en/squads/dc56fe14/2016-2017/Milan-Stats
26,38,58,0,0,376,430,85,790,442,487,6,7,1,/en/squads/d48ad4ff/2016-2017/Napoli-Stats
30,38,107,6,6,568,534,87,665,657,494,1,6,1,/en/squads/ee058a17/2016-2017/Palermo-Stats
34,38,98,3,3,551,537,117,661,549,512,7,6,1,/en/squads/b985784c/2016-2017/Pescara-Stats
22,38,64,0,0,461,488,88,916,622,526,12,4,0,/en/squads/cf74a709/2016-2017/Roma-Stats
24,38,75,1,1,511,502,81,782,468,511,6,8,0,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats
28,38,90,0,0,517,541,75,751,590,534,8,9,1,/en/squads/e2befd26/2016-2017/Sassuolo-Stats
29,38,88,3,3,581,497,91,750,594,508,10,7,1,/en/squads/105360fe/2016-2017/Torino-Stats
29,38,85,0,0,481,516,42,853,526,507,3,9,2,/en/squads/04eea015/2016-2017/Udinese-Stats
