players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Rec,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,1/3,CPA,Mis,Dis,,
29,58.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,51.5,38,,,,,,,,,,,,,,,,,,,,,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,40.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/943e8050/2016-2017/Burnley-Stats
24,55.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,45.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,52.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,45.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,41.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,62.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,65.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,56.5,38,,,,,,,,,,,,,,,,,,,,,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,47.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,54.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,46.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/17892952/2016-2017/Stoke-City-Stats
31,39.7,38,,,,,,,,,,,,,,,,,,,,,/en/squads/8ef52968/2016-2017/Sunderland-Stats
27,47.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
24,60.5,38,,,,,,,,,,,,,,,,,,,,,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
33,46.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/2abfe087/2016-2017/Watford-Stats
23,37.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
29,47.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
25,44.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/8d6fd021/2016-2017/Alaves-Stats
25,51.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats
22,48.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats
25,66.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/206d90db/2016-2017/Barcelona-Stats
27,47.9,38,,,,,,,,,,,,,,,,,,,,,/en/squads/fc536746/2016-2017/Real-Betis-Stats
27,53.2,38,,,,,,,,,,,,,,,,,,,,,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats
24,47.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/bea5c710/2016-2017/Eibar-Stats
27,44.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/a8661628/2016-2017/Espanyol-Stats
35,45.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/a0435291/2016-2017/Granada-Stats
28,47.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats
29,59.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/0049d422/2016-2017/Las-Palmas-Stats
31,44.7,38,,,,,,,,,,,,,,,,,,,,,/en/squads/7c6f2c78/2016-2017/Leganes-Stats
29,48.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/1c896955/2016-2017/Malaga-Stats
35,39.0,38,,,,,,,,,,,,,,,,,,,,,/en/squads/03c57e2b/2016-2017/Osasuna-Stats
24,56.2,38,,,,,,,,,,,,,,,,,,,,,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats
27,56.7,38,,,,,,,,,,,,,,,,,,,,,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats
28,59.2,38,,,,,,,,,,,,,,,,,,,,,/en/squads/ad2be733/2016-2017/Sevilla-Stats
29,44.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats
31,48.8,38,,,,,,,,,,,,,,,,,,,,,/en/squads/dcc91a7b/2016-2017/Valencia-Stats
27,49.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/2a8183b3/2016-2017/Villarreal-Stats
29,46.1,38,,,,,,,,,,,,,,,,,,,,,/en/squads/69236f98/2016-2017/Angers-Stats
29,43.4,38,,,,,,,,,,,,,,,,,,,,,/en/squads/6283be2c/2016-2017/Bastia-Stats
27,48.3,38,,,,,,,,,,,,,,,,,,,,,/en/squads/123f3efe/2016-2017/Bordeaux-Stats
