players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,
29,26.9,38,3420,90,100,38,418,,,111,0,155,1.97,77,44,33,0.87,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,27.0,38,3420,90,100,38,418,,,110,0,156,1.21,55,67,-12,-0.32,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,27.7,38,3420,90,100,38,418,,,105,0,161,1.05,39,55,-16,-0.42,/en/squads/943e8050/2016-2017/Burnley-Stats
24,27.2,38,3420,90,100,38,418,,,114,0,152,2.45,85,33,52,1.37,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,27.7,38,3420,90,100,38,418,,,110,0,156,1.08,50,63,-13,-0.34,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,27.5,38,3420,90,100,38,418,,,107,0,158,1.61,62,44,18,0.47,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,27.4,38,3420,90,100,38,418,,,101,0,165,0.89,37,80,-43,-1.13,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,27.8,38,3420,90,100,38,418,,,106,0,160,1.16,48,63,-15,-0.39,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,26.1,38,3420,90,100,38,418,,,100,0,166,2.0,78,42,36,0.95,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,28.5,38,3420,90,100,38,418,,,106,0,159,2.05,80,39,41,1.08,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,26.7,38,3420,90,100,38,418,,,110,0,156,1.82,54,29,25,0.66,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,27.3,38,3420,90,100,38,418,,,94,0,172,0.74,27,53,-26,-0.68,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,26.0,38,3420,90,100,38,418,,,109,0,157,1.21,41,48,-7,-0.18,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,28.7,38,3420,90,100,38,418,,,93,0,173,1.16,41,56,-15,-0.39,/en/squads/17892952/2016-2017/Stoke-City-Stats
31,26.8,38,3420,90,100,38,418,,,94,0,172,0.63,29,69,-40,-1.05,/en/squads/8ef52968/2016-2017/Sunderland-Stats
27,27.4,38,3420,90,100,38,418,,,105,0,161,1.08,45,70,-25,-0.66,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
24,25.3,38,3420,90,100,38,418,,,111,0,155,2.26,86,26,60,1.58,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
33,29.0,38,3420,90,100,38,418,,,108,0,158,1.05,40,68,-28,-0.74,/en/squads/2abfe087/2016-2017/Watford-Stats
23,29.4,38,3420,90,100,38,418,,,109,0,158,1.18,43,51,-8,-0.21,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
29,27.1,38,3420,90,100,38,418,,,109,0,156,1.18,47,64,-17,-0.45,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
25,25.4,38,3420,90,100,38,418,85,300,114,19,150,1.45,41,43,-2,-0.05,/en/squads/8d6fd021/2016-2017/Alaves-Stats
25,26.8,38,3420,90,100,38,418,84,302,114,22,151,1.66,53,43,10,0.26,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats
22,26.9,38,3420,90,100,38,418,83,307,109,26,156,2.05,70,27,43,1.13,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats
25,26.9,38,3420,90,100,38,418,84,323,94,25,172,2.37,116,37,79,2.08,/en/squads/206d90db/2016-2017/Barcelona-Stats
27,26.1,38,3420,90,100,38,418,84,305,111,23,154,1.03,41,64,-23,-0.61,/en/squads/fc536746/2016-2017/Real-Betis-Stats
27,26.1,38,3420,90,100,38,418,84,298,113,20,152,1.18,53,69,-16,-0.42,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats
24,26.9,38,3420,90,100,38,418,84,299,112,21,152,1.42,56,51,5,0.13,/en/squads/bea5c710/2016-2017/Eibar-Stats
27,27.2,38,3420,90,100,38,418,84,312,105,22,161,1.47,49,50,-1,-0.03,/en/squads/a8661628/2016-2017/Espanyol-Stats
35,24.7,38,3420,90,100,38,418,83,303,111,25,155,0.53,30,82,-52,-1.37,/en/squads/a0435291/2016-2017/Granada-Stats
28,27.7,38,3420,90,100,38,418,84,307,107,21,159,0.95,43,61,-18,-0.47,/en/squads/2a60ed82/2016-2017/Deportivo-La-Coruna-Stats
29,27.3,38,3420,90,100,38,418,84,301,112,20,153,1.03,53,74,-21,-0.55,/en/squads/0049d422/2016-2017/Las-Palmas-Stats
31,26.3,38,3420,90,100,38,418,84,303,112,23,154,0.92,36,55,-19,-0.5,/en/squads/7c6f2c78/2016-2017/Leganes-Stats
29,26.0,38,3420,90,100,38,418,83,300,112,25,153,1.21,49,55,-6,-0.16,/en/squads/1c896955/2016-2017/Malaga-Stats
35,26.3,38,3420,90,100,38,418,83,305,112,26,154,0.58,40,94,-54,-1.42,/en/squads/03c57e2b/2016-2017/Osasuna-Stats
24,27.0,38,3420,90,100,38,419,84,306,111,21,155,2.45,106,41,65,1.71,/en/squads/53a2f082/2016-2017/Real-Madrid-Stats
27,26.0,38,3420,90,100,38,418,84,302,109,21,156,1.68,59,53,6,0.16,/en/squads/e31d1cd9/2016-2017/Real-Sociedad-Stats
28,26.8,38,3420,90,100,38,418,83,303,111,23,154,1.89,69,49,20,0.53,/en/squads/ad2be733/2016-2017/Sevilla-Stats
29,26.4,38,3420,90,100,38,418,84,303,113,22,150,0.82,42,72,-30,-0.79,/en/squads/bb9efd50/2016-2017/Sporting-Gijon-Stats
31,25.9,38,3420,90,100,38,418,84,306,106,21,160,1.21,56,65,-9,-0.24,/en/squads/dcc91a7b/2016-2017/Valencia-Stats
27,26.7,38,3420,90,100,38,418,85,303,111,18,152,1.76,56,33,23,0.61,/en/squads/2a8183b3/2016-2017/Villarreal-Stats
29,26.7,38,3420,90,100,38,418,,,112,0,151,1.21,40,49,-9,-0.24,/en/squads/69236f98/2016-2017/Angers-Stats
29,26.9,38,3420,90,100,38,418,,,102,0,162,0.89,29,54,-25,-0.66,/en/squads/6283be2c/2016-2017/Bastia-Stats
27,25.9,38,3420,90,100,38,418,,,106,0,160,1.55,53,43,10,0.26,/en/squads/123f3efe/2016-2017/Bordeaux-Stats
27,28.7,38,3420,90,100,38,418,,,101,0,164,0.97,36,65,-29,-0.76,/en/squads/74229020/2016-2017/Caen-Stats
27,27.7,38,3420,90,100,38,418,,,108,0,157,0.97,46,58,-12,-0.32,/en/squads/8dfb7350/2016-2017/Dijon-Stats
25,27.6,38,3420,90,100,38,418,,,107,0,159,1.32,46,53,-7,-0.18,/en/squads/d41b5f53/2016-2017/Guingamp-Stats
31,26.9,38,3420,90,100,38,418,,,108,0,158,1.21,40,47,-7,-0.18,/en/squads/cb188c0c/2016-2017/Lille-Stats
30,26.8,38,3420,90,100,38,418,,,110,0,157,0.95,44,70,-26,-0.68,/en/squads/d2c87802/2016-2017/Lorient-Stats
27,25.0,38,3420,90,100,38,418,,,104,0,161,1.76,77,48,29,0.76,/en/squads/d53c0b06/2016-2017/Lyon-Stats
27,27.4,38,3420,90,100,38,418,,,112,0,154,1.63,57,41,16,0.42,/en/squads/5725cc7b/2016-2017/Marseille-Stats
31,26.5,38,3420,90,100,38,418,,,105,0,161,1.13,39,72,-33,-0.87,/en/squads/f83960ae/2016-2017/Metz-Stats
29,25.0,38,3420,90,100,38,418,,,112,0,154,2.5,107,31,76,2.0,/en/squads/fd6114db/2016-2017/Monaco-Stats
32,26.8,38,3420,90,100,38,418,,,101,0,150,1.03,48,66,-18,-0.47,/en/squads/281b0e73/2016-2017/Montpellier-Stats
27,27.2,38,3420,90,100,38,418,,,109,0,158,0.92,29,52,-23,-0.61,/en/squads/e88fc6e5/2016-2017/Nancy-Stats
27,24.8,38,3420,90,100,38,418,,,113,0,153,1.34,40,54,-14,-0.37,/en/squads/d7a486cd/2016-2017/Nantes-Stats
27,24.3,38,3420,90,100,38,418,,,85,0,179,2.05,63,36,27,0.71,/en/squads/132ebc33/2016-2017/Nice-Stats
28,26.4,38,3420,90,100,38,418,,,111,0,155,2.29,83,27,56,1.47,/en/squads/e2d8892c/2016-2017/Paris-Saint-Germain-Stats
31,26.3,38,3420,90,100,38,418,,,110,0,156,1.32,36,42,-6,-0.16,/en/squads/b3072e00/2016-2017/Rennes-Stats
34,26.1,38,3420,90,100,38,418,,,111,0,153,1.32,41,42,-1,-0.03,/en/squads/d298ef2c/2016-2017/Saint-Etienne-Stats
30,23.3,38,3420,90,100,38,418,,,112,0,153,1.16,37,41,-4,-0.11,/en/squads/3f8c4b5f/2016-2017/Toulouse-Stats
28,27.1,34,3060,90,100,34,374,,,100,0,137,1.12,35,51,-16,-0.47,/en/squads/0cdc4311/2016-2017/Augsburg-Stats
22,28.0,34,3060,90,100,34,374,,,99,0,139,2.41,89,22,67,1.97,/en/squads/054efa67/2016-2017/Bayern-Munich-Stats
31,27.6,34,3060,90,100,34,374,,,100,0,137,0.74,28,63,-35,-1.03,/en/squads/6a6967fc/2016-2017/Darmstadt-98-Stats
27,25.3,34,3060,90,100,34,374,,,102,0,136,1.88,72,40,32,0.94,/en/squads/add600ae/2016-2017/Dortmund-Stats
26,25.9,34,3060,90,100,34,374,,,100,0,138,1.24,36,43,-7,-0.21,/en/squads/f0ac8ee6/2016-2017/Eintracht-Frankfurt-Stats
25,24.7,34,3060,90,100,34,374,,,101,0,137,1.41,42,60,-18,-0.53,/en/squads/a486e511/2016-2017/Freiburg-Stats
24,25.3,34,3060,90,100,34,374,,,99,0,138,1.32,45,49,-4,-0.12,/en/squads/32f3ee20/2016-2017/Monchengladbach-Stats
29,25.8,34,3060,90,100,34,374,,,97,0,142,1.12,33,61,-28,-0.82,/en/squads/26790c6a/2016-2017/Hamburger-SV-Stats
26,27.1,34,3060,90,100,34,374,,,98,0,140,1.44,43,47,-4,-0.12,/en/squads/2818f8bc/2016-2017/Hertha-BSC-Stats
23,25.0,34,3060,90,100,34,374,,,100,0,138,1.82,64,37,27,0.79,/en/squads/033ea6b8/2016-2017/Hoffenheim-Stats
22,26.9,34,3060,90,100,34,374,,,98,0,140,0.94,36,57,-21,-0.62,/en/squads/12eb2039/2016-2017/Ingolstadt-04-Stats
26,26.2,34,3060,90,100,34,374,,,88,0,149,1.44,51,42,9,0.26,/en/squads/bc357bf7/2016-2017/Koln-Stats
24,24.2,34,3060,90,100,34,374,,,99,0,138,1.21,53,55,-2,-0.06,/en/squads/c7a9f859/2016-2017/Bayer-Leverkusen-Stats
28,25.1,34,3060,90,100,34,374,,,101,0,137,1.09,44,55,-11,-0.32,/en/squads/a224b06a/2016-2017/Mainz-05-Stats
23,24.0,34,3060,90,100,34,374,,,97,0,141,1.97,66,39,27,0.79,/en/squads/acbb6a5b/2016-2017/RB-Leipzig-Stats
29,25.3,34,3060,90,100,34,374,,,101,0,137,1.26,45,40,5,0.15,/en/squads/c539e393/2016-2017/Schalke-04-Stats
31,27.0,34,3060,90,100,34,374,,,100,0,138,1.32,61,64,-3,-0.09,/en/squads/62add3bf/2016-2017/Werder-Bremen-Stats
31,25.7,34,3060,90,100,34,374,,,96,0,142,1.09,34,52,-18,-0.53,/en/squads/4eaa11d7/2016-2017/Wolfsburg-Stats
32,25.2,38,3420,90,100,38,417,,,110,0,337,1.89,62,41,21,0.55,/en/squads/922493f3/2016-2017/Atalanta-Stats
28,26.3,38,3420,90,100,38,418,,,114,0,325,1.08,40,58,-18,-0.47,/en/squads/1d8099f8/2016-2017/Bologna-Stats
34,28.7,38,3420,90,100,38,418,,,113,0,257,1.24,55,76,-21,-0.55,/en/squads/c4260e09/2016-2017/Cagliari-Stats
29,31.3,38,3420,90,100,38,418,,,113,0,319,1.13,43,61,-18,-0.47,/en/squads/cc919b35/2016-2017/Chievo-Stats
31,26.0,38,3420,90,100,38,418,,,110,0,329,0.89,34,58,-24,-0.63,/en/squads/3074d7b1/2016-2017/Crotone-Stats
29,26.8,38,3420,90,100,38,418,,,111,0,334,0.84,29,61,-32,-0.84,/en/squads/a3d88bd8/2016-2017/Empoli-Stats
30,27.3,38,3420,90,100,38,418,,,114,0,325,1.58,63,57,6,0.16,/en/squads/421387cf/2016-2017/Fiorentina-Stats
33,26.9,38,3420,90,100,38,418,,,113,0,329,0.95,38,64,-26,-0.68,/en/squads/658bf2de/2016-2017/Genoa-Stats
29,27.5,38,3420,90,100,38,418,,,108,0,328,1.63,72,49,23,0.61,/en/squads/d609edc0/2016-2017/Internazionale-Stats
27,29.1,38,3420,90,100,38,418,,,113,0,288,2.39,77,27,50,1.32,/en/squads/e0652b02/2016-2017/Juventus-Stats
30,26.0,38,3420,90,100,38,418,,,114,0,316,1.84,74,51,23,0.61,/en/squads/7213da33/2016-2017/Lazio-Stats
28,25.0,38,3420,90,100,38,418,,,114,0,327,1.66,57,45,12,0.32,/en/squads/dc56fe14/2016-2017/Milan-Stats
26,26.9,38,3420,90,100,38,418,,,112,0,337,2.26,94,39,55,1.45,/en/squads/d48ad4ff/2016-2017/Napoli-Stats
30,26.1,38,3420,90,100,38,418,,,112,0,330,0.68,33,77,-44,-1.16,/en/squads/ee058a17/2016-2017/Palermo-Stats
34,26.6,38,3420,90,100,38,418,,,113,0,282,0.47,37,81,-44,-1.16,/en/squads/b985784c/2016-2017/Pescara-Stats
22,26.7,38,3420,90,100,38,418,,,107,0,276,2.29,90,38,52,1.37,/en/squads/cf74a709/2016-2017/Roma-Stats
24,26.6,38,3420,90,100,38,418,,,113,0,333,1.26,49,55,-6,-0.16,/en/squads/8ff9e3b3/2016-2017/Sampdoria-Stats
28,26.7,38,3420,90,100,38,418,,,113,0,312,1.21,58,63,-5,-0.13,/en/squads/e2befd26/2016-2017/Sassuolo-Stats
29,26.4,38,3420,90,100,38,418,,,113,0,326,1.39,71,66,5,0.13,/en/squads/105360fe/2016-2017/Torino-Stats
29,26.7,38,3420,90,100,38,418,,,112,0,312,1.18,47,56,-9,-0.24,/en/squads/04eea015/2016-2017/Udinese-Stats
