players_used,90s,Att,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,url
,,,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,
29,38,,,,,,,701,,,,,,,,,/en/squads/18bb7c10/2016-2017/Arsenal-Stats
27,38,,,,,,,642,,,,,,,,,/en/squads/4ba7cbea/2016-2017/Bournemouth-Stats
27,38,,,,,,,676,,,,,,,,,/en/squads/943e8050/2016-2017/Burnley-Stats
24,38,,,,,,,697,,,,,,,,,/en/squads/cff3d9bb/2016-2017/Chelsea-Stats
31,38,,,,,,,880,,,,,,,,,/en/squads/47c64c55/2016-2017/Crystal-Palace-Stats
27,38,,,,,,,775,,,,,,,,,/en/squads/d3fd31cc/2016-2017/Everton-Stats
28,38,,,,,,,748,,,,,,,,,/en/squads/bd8769d1/2016-2017/Hull-City-Stats
25,38,,,,,,,735,,,,,,,,,/en/squads/a2d435b3/2016-2017/Leicester-City-Stats
23,38,,,,,,,815,,,,,,,,,/en/squads/822bd0ba/2016-2017/Liverpool-Stats
25,38,,,,,,,810,,,,,,,,,/en/squads/b8fd03ef/2016-2017/Manchester-City-Stats
31,38,,,,,,,852,,,,,,,,,/en/squads/19538871/2016-2017/Manchester-United-Stats
27,38,,,,,,,735,,,,,,,,,/en/squads/7f59c601/2016-2017/Middlesbrough-Stats
26,38,,,,,,,960,,,,,,,,,/en/squads/33c895d4/2016-2017/Southampton-Stats
26,38,,,,,,,725,,,,,,,,,/en/squads/17892952/2016-2017/Stoke-City-Stats
31,38,,,,,,,633,,,,,,,,,/en/squads/8ef52968/2016-2017/Sunderland-Stats
27,38,,,,,,,867,,,,,,,,,/en/squads/fb10988f/2016-2017/Swansea-City-Stats
24,38,,,,,,,763,,,,,,,,,/en/squads/361ca564/2016-2017/Tottenham-Hotspur-Stats
33,38,,,,,,,696,,,,,,,,,/en/squads/2abfe087/2016-2017/Watford-Stats
23,38,,,,,,,770,,,,,,,,,/en/squads/60c6b05f/2016-2017/West-Bromwich-Albion-Stats
29,38,,,,,,,759,,,,,,,,,/en/squads/7c21e445/2016-2017/West-Ham-United-Stats
25,38,,,,,,,643,,,,,,,,,/en/squads/8d6fd021/2016-2017/Alaves-Stats
25,38,,,,,,,912,,,,,,,,,/en/squads/2b390eca/2016-2017/Athletic-Club-Stats
22,38,,,,,,,660,,,,,,,,,/en/squads/db3b9613/2016-2017/Atletico-Madrid-Stats
25,38,,,,,,,551,,,,,,,,,/en/squads/206d90db/2016-2017/Barcelona-Stats
27,38,,,,,,,645,,,,,,,,,/en/squads/fc536746/2016-2017/Real-Betis-Stats
27,38,,,,,,,481,,,,,,,,,/en/squads/f25da7fb/2016-2017/Celta-Vigo-Stats
24,38,,,,,,,920,,,,,,,,,/en/squads/bea5c710/2016-2017/Eibar-Stats
27,38,,,,,,,674,,,,,,,,,/en/squads/a8661628/2016-2017/Espanyol-Stats
35,38,,,,,,,623,,,,,,,,,/en/squads/a0435291/2016-2017/Granada-Stats
