players_used,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,url
,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,
30,38,57,,0,383,377,89,572,427,425,5,6,0,2148,630,660,48.8,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
22,38,57,,1,339,411,52,707,367,324,2,3,1,1956,698,750,48.2,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
24,38,54,,0,413,277,98,680,449,380,7,3,5,2122,796,777,50.6,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
24,38,65,,0,350,422,100,707,400,355,0,5,1,1875,912,967,48.5,/en/squads/943e8050/2017-2018/Burnley-Stats
26,38,46,,2,363,405,108,755,424,426,3,2,2,2233,602,506,54.3,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
28,38,72,,0,425,404,56,703,552,447,9,2,2,2156,752,708,51.5,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
30,38,55,,2,460,364,82,629,514,447,8,5,0,2046,760,852,47.1,/en/squads/d3fd31cc/2017-2018/Everton-Stats
25,38,65,,2,397,363,67,765,518,502,2,6,1,2141,788,800,49.6,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
27,38,60,,4,364,357,92,744,414,417,6,4,2,2154,787,752,51.1,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
27,38,44,,0,344,305,70,764,379,450,3,6,0,2258,585,650,47.4,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,38,63,,2,344,354,67,691,346,381,8,2,2,2104,512,418,55.1,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
27,38,64,,0,405,422,88,753,481,369,1,1,2,2133,617,493,55.6,/en/squads/19538871/2017-2018/Manchester-United-Stats
27,38,54,,1,409,369,63,616,441,426,1,6,3,2021,884,927,48.8,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
26,38,65,,1,416,377,73,800,462,454,3,2,0,2222,687,821,45.6,/en/squads/33c895d4/2017-2018/Southampton-Stats
30,38,62,,0,436,375,87,598,461,437,2,5,2,1832,974,774,55.7,/en/squads/17892952/2017-2018/Stoke-City-Stats
26,38,51,,0,377,400,38,694,390,417,1,6,2,1877,687,769,47.2,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
25,38,52,,1,384,394,88,825,380,399,3,3,1,2142,605,583,50.9,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
29,38,65,,1,441,381,74,713,467,432,6,6,1,2105,841,883,48.8,/en/squads/2abfe087/2017-2018/Watford-Stats
24,38,73,,0,440,345,79,784,470,385,0,1,2,2094,785,784,50.0,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
27,38,75,,1,379,450,97,733,482,410,4,6,1,2017,743,771,49.1,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
30,38,109,4,4,603,522,108,558,498,464,3,10,2,1975,608,602,50.2,/en/squads/8d6fd021/2017-2018/Alaves-Stats
26,38,93,0,0,528,487,104,816,465,486,7,6,3,2174,715,609,54.0,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats
26,38,96,5,3,538,481,107,524,513,614,4,4,1,2214,554,539,50.7,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
25,38,67,2,0,383,520,134,409,424,413,4,2,0,2095,343,286,54.5,/en/squads/206d90db/2017-2018/Barcelona-Stats
29,38,91,3,1,465,486,62,534,427,424,1,4,4,1953,447,453,49.7,/en/squads/fc536746/2017-2018/Real-Betis-Stats
23,38,85,1,0,430,540,92,583,497,420,2,5,1,2148,545,524,51.0,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats
27,38,86,3,2,492,435,84,1055,554,436,3,4,3,2287,752,718,51.2,/en/squads/bea5c710/2017-2018/Eibar-Stats
25,38,88,1,1,521,530,76,720,515,500,3,6,2,2009,597,633,48.5,/en/squads/a8661628/2017-2018/Espanyol-Stats
32,38,134,5,4,673,495,108,585,487,491,11,4,0,2022,541,730,42.6,/en/squads/7848bd64/2017-2018/Getafe-Stats
25,38,102,0,0,615,497,80,828,490,403,6,5,3,1981,643,597,51.9,/en/squads/9024a00a/2017-2018/Girona-Stats
32,38,100,2,1,507,436,94,747,484,500,5,5,3,2074,558,584,48.9,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats
36,38,89,3,1,484,665,81,581,508,433,5,5,1,1998,474,540,46.7,/en/squads/0049d422/2017-2018/Las-Palmas-Stats
28,38,105,5,3,592,503,97,690,583,483,2,7,0,2140,653,627,51.0,/en/squads/7c6f2c78/2017-2018/Leganes-Stats
33,38,111,6,3,554,446,70,726,477,414,5,6,3,1967,468,559,45.6,/en/squads/9800b6a1/2017-2018/Levante-Stats
37,38,101,8,5,613,442,89,742,497,509,3,7,0,2086,602,739,44.9,/en/squads/1c896955/2017-2018/Malaga-Stats
24,38,67,4,2,436,517,115,904,424,470,9,4,2,2087,406,369,52.4,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
27,38,64,5,4,419,538,91,782,446,374,5,8,1,2038,498,467,51.6,/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats
31,38,99,3,2,562,493,137,657,409,535,3,8,1,2129,582,504,53.6,/en/squads/ad2be733/2017-2018/Sevilla-Stats
25,38,107,5,4,518,548,83,605,459,492,7,5,0,2023,534,460,53.7,/en/squads/dcc91a7b/2017-2018/Valencia-Stats
32,38,117,6,4,598,458,111,517,427,466,5,8,0,2021,553,533,50.9,/en/squads/2a8183b3/2017-2018/Villarreal-Stats
30,38,74,5,2,504,459,69,590,523,445,4,4,0,2214,637,725,46.8,/en/squads/25622401/2017-2018/Amiens-Stats
27,38,70,3,2,492,436,59,653,410,427,3,7,4,2051,592,654,47.5,/en/squads/69236f98/2017-2018/Angers-Stats
31,38,74,2,1,532,470,76,736,464,459,5,8,1,2227,578,631,47.8,/en/squads/123f3efe/2017-2018/Bordeaux-Stats
26,38,68,4,0,523,433,76,971,476,478,5,5,4,2371,814,770,51.4,/en/squads/74229020/2017-2018/Caen-Stats
26,38,70,5,1,492,471,73,567,544,462,5,14,3,2120,603,665,47.6,/en/squads/8dfb7350/2017-2018/Dijon-Stats
23,38,67,2,2,498,517,100,727,475,437,5,7,1,2026,610,635,49.0,/en/squads/d41b5f53/2017-2018/Guingamp-Stats
