players_used,Age,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),url
,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,
30,26.8,38,3420,90,100,38,418,,,101,0,165,1.66,74,51,23,0.61,68.3,47.8,20.5,0.54,/en/squads/18bb7c10/2017-2018/Arsenal-Stats
22,26.9,38,3420,90,100,38,418,,,109,0,157,1.16,45,61,-16,-0.42,38.8,59.2,-20.4,-0.54,/en/squads/4ba7cbea/2017-2018/Bournemouth-Stats
24,27.5,38,3420,90,100,38,418,,,101,0,165,1.05,34,54,-20,-0.53,37.0,50.8,-13.8,-0.36,/en/squads/d07537b9/2017-2018/Brighton-and-Hove-Albion-Stats
24,27.5,38,3420,90,100,38,418,,,83,0,183,1.42,36,39,-3,-0.08,32.3,51.2,-18.9,-0.5,/en/squads/943e8050/2017-2018/Burnley-Stats
26,26.7,38,3420,90,100,38,418,,,109,0,157,1.84,62,38,24,0.63,54.4,33.8,20.6,0.54,/en/squads/cff3d9bb/2017-2018/Chelsea-Stats
28,27.1,38,3420,90,100,38,418,,,73,0,191,1.16,45,55,-10,-0.26,53.5,48.2,5.2,0.14,/en/squads/47c64c55/2017-2018/Crystal-Palace-Stats
30,26.7,38,3420,90,100,38,418,,,114,0,152,1.29,44,58,-14,-0.37,40.5,52.4,-11.9,-0.31,/en/squads/d3fd31cc/2017-2018/Everton-Stats
25,26.4,38,3420,90,100,38,418,,,112,0,154,0.97,28,58,-30,-0.79,31.3,48.5,-17.2,-0.45,/en/squads/f5922ca5/2017-2018/Huddersfield-Town-Stats
27,27.2,38,3420,90,100,38,418,,,107,0,159,1.24,56,60,-4,-0.11,50.0,48.1,1.9,0.05,/en/squads/a2d435b3/2017-2018/Leicester-City-Stats
27,25.6,38,3420,90,100,38,418,,,111,0,155,1.97,84,38,46,1.21,72.9,33.8,39.1,1.03,/en/squads/822bd0ba/2017-2018/Liverpool-Stats
25,26.4,38,3420,90,100,38,418,,,106,0,158,2.63,106,27,79,2.08,78.6,23.8,54.8,1.44,/en/squads/b8fd03ef/2017-2018/Manchester-City-Stats
27,26.7,38,3420,90,100,38,418,,,111,0,155,2.13,68,28,40,1.05,55.7,40.7,15.0,0.4,/en/squads/19538871/2017-2018/Manchester-United-Stats
27,25.6,38,3420,90,100,38,418,,,112,0,154,1.16,39,47,-8,-0.21,41.6,52.4,-10.8,-0.28,/en/squads/b2b47a98/2017-2018/Newcastle-United-Stats
26,26.2,38,3420,90,100,38,418,,,113,0,153,0.95,37,56,-19,-0.5,39.9,45.2,-5.3,-0.14,/en/squads/33c895d4/2017-2018/Southampton-Stats
30,27.5,38,3420,90,100,38,418,,,92,0,174,0.87,35,68,-33,-0.87,36.5,62.5,-26.0,-0.69,/en/squads/17892952/2017-2018/Stoke-City-Stats
26,27.2,38,3420,90,100,38,418,,,109,0,157,0.87,28,56,-28,-0.74,31.6,58.6,-27.0,-0.71,/en/squads/fb10988f/2017-2018/Swansea-City-Stats
25,25.8,38,3420,90,100,38,418,,,108,0,157,2.03,74,36,38,1.0,64.7,33.9,30.8,0.81,/en/squads/361ca564/2017-2018/Tottenham-Hotspur-Stats
29,27.9,38,3420,90,100,38,418,,,111,0,155,1.08,44,64,-20,-0.53,45.0,51.8,-6.8,-0.18,/en/squads/2abfe087/2017-2018/Watford-Stats
24,29.1,38,3420,90,100,38,418,,,108,0,157,0.82,31,56,-25,-0.66,36.5,47.9,-11.4,-0.3,/en/squads/60c6b05f/2017-2018/West-Bromwich-Albion-Stats
27,28.0,38,3420,90,100,38,418,,,97,0,167,1.11,48,68,-20,-0.53,36.7,55.1,-18.4,-0.48,/en/squads/7c21e445/2017-2018/West-Ham-United-Stats
30,25.5,38,3420,90,100,38,418,85,303,111,20,154,1.24,40,50,-10,-0.26,38.5,55.9,-17.4,-0.46,/en/squads/8d6fd021/2017-2018/Alaves-Stats
26,26.7,38,3420,90,100,38,418,85,312,106,22,160,1.13,41,49,-8,-0.21,49.7,50.3,-0.6,-0.02,/en/squads/2b390eca/2017-2018/Athletic-Club-Stats
26,26.6,38,3420,90,100,38,418,83,304,110,24,156,2.08,58,22,36,0.95,50.2,35.8,14.4,0.38,/en/squads/db3b9613/2017-2018/Atletico-Madrid-Stats
25,27.7,38,3420,90,100,38,418,84,305,111,21,155,2.45,99,29,70,1.84,83.5,41.9,41.6,1.09,/en/squads/206d90db/2017-2018/Barcelona-Stats
29,27.1,38,3420,90,100,38,418,84,302,113,21,153,1.58,60,61,-1,-0.03,46.0,49.0,-3.1,-0.08,/en/squads/fc536746/2017-2018/Real-Betis-Stats
23,25.7,38,3420,90,100,38,418,85,308,109,19,157,1.29,59,60,-1,-0.03,55.0,55.3,-0.3,-0.01,/en/squads/f25da7fb/2017-2018/Celta-Vigo-Stats
27,27.4,38,3420,90,100,38,418,84,303,113,20,153,1.34,44,50,-6,-0.16,40.9,44.4,-3.5,-0.09,/en/squads/bea5c710/2017-2018/Eibar-Stats
25,26.8,38,3420,90,100,38,418,84,312,105,25,161,1.29,36,42,-6,-0.16,41.1,52.3,-11.1,-0.29,/en/squads/a8661628/2017-2018/Espanyol-Stats
32,28.2,38,3420,90,100,38,418,84,300,113,19,153,1.45,42,33,9,0.24,48.2,39.7,8.5,0.22,/en/squads/7848bd64/2017-2018/Getafe-Stats
25,26.3,38,3420,90,100,38,418,85,312,106,19,159,1.34,50,59,-9,-0.24,50.6,50.4,0.2,0.01,/en/squads/9024a00a/2017-2018/Girona-Stats
32,28.2,38,3420,90,100,38,418,84,303,113,22,150,0.76,38,76,-38,-1.0,51.6,58.7,-7.1,-0.19,/en/squads/2a60ed82/2017-2018/Deportivo-La-Coruna-Stats
36,27.0,38,3420,90,100,38,418,84,309,106,24,160,0.58,24,74,-50,-1.32,38.5,70.5,-32.0,-0.84,/en/squads/0049d422/2017-2018/Las-Palmas-Stats
28,27.8,38,3420,90,100,38,418,84,304,109,23,157,1.13,34,51,-17,-0.45,39.9,47.6,-7.6,-0.2,/en/squads/7c6f2c78/2017-2018/Leganes-Stats
33,25.7,38,3420,90,100,38,418,83,303,112,25,151,1.21,44,58,-14,-0.37,44.7,63.6,-18.8,-0.5,/en/squads/9800b6a1/2017-2018/Levante-Stats
37,27.2,38,3420,90,100,38,418,83,299,113,23,152,0.53,24,61,-37,-0.97,38.4,59.4,-21.0,-0.55,/en/squads/1c896955/2017-2018/Malaga-Stats
24,27.1,38,3420,90,100,38,418,85,308,105,20,161,2.0,94,44,50,1.32,85.4,43.2,42.2,1.11,/en/squads/53a2f082/2017-2018/Real-Madrid-Stats
27,25.9,38,3420,90,100,38,418,85,306,108,20,158,1.29,66,59,7,0.18,53.7,50.5,3.1,0.08,/en/squads/e31d1cd9/2017-2018/Real-Sociedad-Stats
31,27.1,38,3420,90,100,38,418,84,303,114,22,152,1.53,49,58,-9,-0.24,59.5,54.4,5.2,0.14,/en/squads/ad2be733/2017-2018/Sevilla-Stats
25,24.8,38,3420,90,100,38,418,85,306,107,18,159,1.92,65,38,27,0.71,56.0,48.3,7.7,0.2,/en/squads/dcc91a7b/2017-2018/Valencia-Stats
32,26.6,38,3420,90,100,38,418,84,299,112,22,153,1.61,57,50,7,0.18,53.3,53.4,-0.1,0.0,/en/squads/2a8183b3/2017-2018/Villarreal-Stats
30,27.5,38,3420,90,100,38,418,85,303,111,20,155,1.18,37,42,-5,-0.13,32.8,54.9,-22.1,-0.58,/en/squads/25622401/2017-2018/Amiens-Stats
27,27.1,38,3420,90,100,38,418,84,303,112,22,153,1.08,42,52,-10,-0.26,47.6,45.8,1.8,0.05,/en/squads/69236f98/2017-2018/Angers-Stats
31,25.1,38,3420,90,100,38,418,84,303,112,21,153,1.45,53,48,5,0.13,51.0,43.6,7.5,0.2,/en/squads/123f3efe/2017-2018/Bordeaux-Stats
26,27.3,38,3420,90,100,38,418,84,320,95,25,170,1.0,27,52,-25,-0.66,42.8,48.0,-5.2,-0.14,/en/squads/74229020/2017-2018/Caen-Stats
26,26.6,38,3420,90,100,38,418,84,302,111,20,154,1.26,55,73,-18,-0.47,41.6,63.8,-22.2,-0.58,/en/squads/8dfb7350/2017-2018/Dijon-Stats
23,27.2,38,3420,90,100,38,418,84,304,113,20,153,1.24,48,59,-11,-0.29,45.5,49.0,-3.5,-0.09,/en/squads/d41b5f53/2017-2018/Guingamp-Stats
25,22.6,38,3420,90,100,38,418,83,303,109,25,157,1.0,41,67,-26,-0.68,36.4,57.9,-21.5,-0.57,/en/squads/cb188c0c/2017-2018/Lille-Stats
26,24.4,38,3420,90,100,38,418,85,308,108,18,158,2.05,87,43,44,1.16,63.4,40.1,23.3,0.61,/en/squads/d53c0b06/2017-2018/Lyon-Stats
26,27.2,38,3420,90,100,38,418,84,303,113,21,153,2.03,80,47,33,0.87,78.1,41.8,36.3,0.96,/en/squads/5725cc7b/2017-2018/Marseille-Stats
36,27.4,38,3420,90,100,38,418,84,308,102,22,157,0.68,34,76,-42,-1.11,40.3,71.3,-31.0,-0.81,/en/squads/f83960ae/2017-2018/Metz-Stats
32,25.8,38,3420,90,100,38,418,84,305,111,20,155,2.11,85,45,40,1.05,62.3,48.5,13.8,0.36,/en/squads/fd6114db/2017-2018/Monaco-Stats
23,26.4,38,3420,90,100,38,418,84,306,110,21,155,1.34,36,33,3,0.08,42.6,39.0,3.6,0.1,/en/squads/281b0e73/2017-2018/Montpellier-Stats
30,25.6,38,3420,90,100,38,418,83,301,111,24,155,1.37,36,41,-5,-0.13,41.8,38.1,3.7,0.1,/en/squads/d7a486cd/2017-2018/Nantes-Stats
31,25.0,38,3420,90,100,38,418,86,319,95,15,171,1.42,53,52,1,0.03,49.2,49.5,-0.3,-0.01,/en/squads/132ebc33/2017-2018/Nice-Stats
28,26.1,38,3420,90,100,38,418,85,306,105,19,161,2.45,108,29,79,2.08,86.1,34.3,51.7,1.36,/en/squads/e2d8892c/2017-2018/Paris-Saint-Germain-Stats
28,24.2,38,3420,90,100,38,418,85,314,101,21,164,1.53,50,44,6,0.16,49.8,49.3,0.5,0.01,/en/squads/b3072e00/2017-2018/Rennes-Stats
30,26.6,38,3420,90,100,38,418,83,304,107,24,158,1.45,47,50,-3,-0.08,51.0,54.1,-3.1,-0.08,/en/squads/d298ef2c/2017-2018/Saint-Etienne-Stats
25,27.2,38,3420,90,100,38,418,85,304,110,18,156,1.0,44,67,-23,-0.61,45.5,58.4,-12.9,-0.34,/en/squads/c0d3eab4/2017-2018/Strasbourg-Stats
25,23.9,38,3420,90,100,38,418,84,305,110,22,156,0.97,38,54,-16,-0.42,45.5,52.1,-6.6,-0.17,/en/squads/3f8c4b5f/2017-2018/Toulouse-Stats
25,26.7,38,3420,90,100,38,418,83,298,114,23,152,0.87,32,59,-27,-0.71,38.0,52.0,-14.0,-0.37,/en/squads/54195385/2017-2018/Troyes-Stats
27,26.6,34,3060,90,100,34,374,,,95,0,143,1.21,43,46,-3,-0.09,44.7,41.4,3.3,0.1,/en/squads/0cdc4311/2017-2018/Augsburg-Stats
28,27.4,34,3060,90,100,34,374,,,102,0,134,2.47,92,28,64,1.88,75.8,31.7,44.1,1.3,/en/squads/054efa67/2017-2018/Bayern-Munich-Stats
30,25.9,34,3060,90,100,34,374,,,95,0,141,1.62,64,47,17,0.5,66.0,42.2,23.8,0.7,/en/squads/add600ae/2017-2018/Dortmund-Stats
28,26.4,34,3060,90,100,34,374,,,101,0,137,1.44,45,45,0,0.0,42.2,41.7,0.5,0.01,/en/squads/f0ac8ee6/2017-2018/Eintracht-Frankfurt-Stats
29,24.8,34,3060,90,100,34,374,,,96,0,142,1.06,32,56,-24,-0.71,39.6,46.1,-6.6,-0.19,/en/squads/a486e511/2017-2018/Freiburg-Stats
27,25.7,34,3060,90,100,34,374,,,97,0,140,1.38,47,52,-5,-0.15,51.1,52.0,-0.8,-0.02,/en/squads/32f3ee20/2017-2018/Monchengladbach-Stats
29,25.0,34,3060,90,100,34,374,,,97,0,138,0.91,29,53,-24,-0.71,37.7,55.9,-18.2,-0.54,/en/squads/26790c6a/2017-2018/Hamburger-SV-Stats
26,26.4,34,3060,90,100,34,374,,,100,0,136,1.15,44,54,-10,-0.29,44.6,55.6,-11.0,-0.32,/en/squads/60b5e41f/2017-2018/Hannover-96-Stats
25,26.4,34,3060,90,100,34,374,,,95,0,142,1.26,43,46,-3,-0.09,39.2,44.3,-5.1,-0.15,/en/squads/2818f8bc/2017-2018/Hertha-BSC-Stats
26,25.0,34,3060,90,100,34,374,,,102,0,136,1.62,66,48,18,0.53,50.5,47.2,3.3,0.1,/en/squads/033ea6b8/2017-2018/Hoffenheim-Stats
31,25.3,34,3060,90,100,34,374,,,101,0,136,0.65,35,70,-35,-1.03,43.2,67.4,-24.1,-0.71,/en/squads/bc357bf7/2017-2018/Koln-Stats
24,24.0,34,3060,90,100,34,374,,,102,0,135,1.62,58,44,14,0.41,57.5,38.9,18.6,0.55,/en/squads/c7a9f859/2017-2018/Bayer-Leverkusen-Stats
27,25.3,34,3060,90,100,34,374,,,101,0,137,1.06,38,52,-14,-0.41,35.4,47.9,-12.5,-0.37,/en/squads/a224b06a/2017-2018/Mainz-05-Stats
23,23.4,34,3060,90,100,34,374,,,98,0,139,1.56,57,53,4,0.12,51.9,46.7,5.2,0.15,/en/squads/acbb6a5b/2017-2018/RB-Leipzig-Stats
24,26.1,34,3060,90,100,34,374,,,102,0,136,1.85,53,37,16,0.47,46.7,40.2,6.6,0.19,/en/squads/c539e393/2017-2018/Schalke-04-Stats
26,25.6,34,3060,90,100,34,374,,,100,0,137,1.5,36,36,0,0.0,40.3,43.5,-3.1,-0.09,/en/squads/598bc722/2017-2018/Stuttgart-Stats
25,26.3,34,3060,90,100,34,374,,,97,0,140,1.24,37,40,-3,-0.09,38.9,45.1,-6.2,-0.18,/en/squads/62add3bf/2017-2018/Werder-Bremen-Stats
29,25.1,34,3060,90,100,34,374,,,91,0,147,0.97,36,48,-12,-0.35,34.2,52.0,-17.8,-0.52,/en/squads/4eaa11d7/2017-2018/Wolfsburg-Stats
25,25.7,38,3420,90,100,38,418,,,108,0,313,1.58,57,39,18,0.47,64.1,36.6,27.5,0.72,/en/squads/922493f3/2017-2018/Atalanta-Stats
41,26.0,38,3420,90,100,38,418,,,113,0,311,0.55,33,84,-51,-1.34,38.3,73.2,-34.9,-0.92,/en/squads/4fcb34fd/2017-2018/Benevento-Stats
30,26.8,38,3420,90,100,38,418,,,113,0,331,1.03,40,52,-12,-0.32,36.6,51.4,-14.8,-0.39,/en/squads/1d8099f8/2017-2018/Bologna-Stats
29,27.1,38,3420,90,100,38,418,,,114,0,295,1.03,33,61,-28,-0.74,39.7,59.2,-19.5,-0.51,/en/squads/c4260e09/2017-2018/Cagliari-Stats
25,30.3,38,3420,90,100,38,418,,,109,0,345,1.05,36,59,-23,-0.61,34.1,55.2,-21.2,-0.56,/en/squads/cc919b35/2017-2018/Chievo-Stats
29,25.6,38,3420,90,100,38,418,,,114,0,318,0.92,40,66,-26,-0.68,34.6,58.6,-24.0,-0.63,/en/squads/3074d7b1/2017-2018/Crotone-Stats
27,25.0,38,3420,90,100,38,418,,,111,0,325,1.5,54,46,8,0.21,54.5,40.8,13.7,0.36,/en/squads/421387cf/2017-2018/Fiorentina-Stats
33,27.9,38,3420,90,100,38,418,,,113,0,329,1.08,33,43,-10,-0.26,43.5,42.6,0.9,0.02,/en/squads/658bf2de/2017-2018/Genoa-Stats
32,25.9,38,3420,90,100,38,418,,,113,0,317,0.66,30,78,-48,-1.26,33.0,70.2,-37.1,-0.98,/en/squads/0e72edf2/2017-2018/Hellas-Verona-Stats
22,27.6,38,3420,90,100,38,418,,,110,0,283,1.89,66,30,36,0.95,56.7,37.2,19.6,0.52,/en/squads/d609edc0/2017-2018/Internazionale-Stats
