players_used,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,url
,,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,
28,38,831,21.87,655,58,50,34,22,12,116,3.05,91,6,5,6,7,1,/en/squads/18bb7c10/2018-2019/Arsenal-Stats
28,38,788,20.74,558,83,46,39,47,15,99,2.61,64,9,8,6,9,3,/en/squads/4ba7cbea/2018-2019/Bournemouth-Stats
21,38,647,17.03,427,87,40,35,45,13,55,1.45,29,9,1,7,8,1,/en/squads/d07537b9/2018-2019/Brighton-and-Hove-Albion-Stats
23,38,624,16.42,417,81,14,55,52,5,69,1.82,45,8,0,13,3,0,/en/squads/943e8050/2018-2019/Burnley-Stats
25,38,693,18.24,457,96,32,57,47,4,50,1.32,32,4,3,9,2,0,/en/squads/75fae011/2018-2019/Cardiff-City-Stats
24,38,1131,29.76,892,58,61,45,54,21,114,3.0,82,5,13,7,6,1,/en/squads/cff3d9bb/2018-2019/Chelsea-Stats
26,38,860,22.63,606,72,55,63,50,14,86,2.26,51,6,7,8,13,1,/en/squads/47c64c55/2018-2019/Crystal-Palace-Stats
23,38,845,22.24,573,88,57,61,56,10,93,2.45,65,5,8,12,3,0,/en/squads/d3fd31cc/2018-2019/Everton-Stats
28,38,814,21.42,601,73,47,56,28,9,59,1.55,42,3,6,5,3,0,/en/squads/fd962109/2018-2019/Fulham-Stats
31,38,683,17.97,487,74,27,43,37,15,33,0.87,23,4,0,3,3,0,/en/squads/f5922ca5/2018-2019/Huddersfield-Town-Stats
25,38,898,23.63,625,87,64,56,50,16,85,2.24,59,3,7,7,9,0,/en/squads/a2d435b3/2018-2019/Leicester-City-Stats
23,38,1013,26.66,747,74,77,56,45,14,149,3.92,104,10,14,10,10,1,/en/squads/822bd0ba/2018-2019/Liverpool-Stats
