players_used,90s,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,url
,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
29,38,456,252,206,184,66,212,547,38.8,335,368,113,255,351,807,643,16,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,38,530,282,262,202,66,250,571,43.8,321,438,159,279,387,917,783,17,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,38,628,334,297,251,80,252,603,41.8,351,417,97,320,425,1053,604,8,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,38,507,293,241,203,63,229,564,40.6,335,440,180,260,416,923,824,11,/en/squads/943e8050/2020-2021/Burnley-Stats
27,38,612,341,257,282,73,231,570,40.5,339,420,83,337,382,994,661,16,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,38,636,366,329,234,73,283,620,45.6,337,447,138,309,396,1032,774,13,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,38,640,381,325,242,73,266,664,40.1,398,458,157,301,392,1032,847,19,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,38,601,329,282,231,88,254,581,43.7,327,356,95,261,437,1038,794,13,/en/squads/fd962109/2020-2021/Fulham-Stats
23,38,740,417,378,279,83,310,769,40.3,459,406,149,257,397,1137,646,26,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,38,681,403,319,263,99,295,676,43.6,381,386,90,296,438,1119,685,9,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,38,526,303,195,231,100,220,543,40.5,323,338,58,280,347,873,563,20,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,38,498,271,198,212,88,234,576,40.6,342,310,82,228,319,817,453,11,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,38,551,311,252,239,60,231,572,40.4,341,418,116,302,386,937,634,20,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,38,512,268,257,213,42,207,547,37.8,340,423,160,263,362,874,908,10,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,38,634,356,325,239,70,294,720,40.8,426,442,152,290,351,985,839,19,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,38,727,419,335,325,67,341,731,46.6,390,439,95,344,401,1128,681,10,/en/squads/33c895d4/2020-2021/Southampton-Stats
24,38,636,361,313,244,79,277,683,40.6,406,434,147,287,342,978,795,15,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
30,38,581,328,329,192,60,271,656,41.3,385,455,159,296,435,1016,876,13,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
24,38,514,280,269,195,50,224,573,39.1,349,405,124,281,437,951,779,11,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
27,38,588,335,322,220,46,277,611,45.3,334,359,117,242,432,1020,727,15,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
