players_used,Poss,90s,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,url
,,,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,
29,53.5,38,25431,2426,7970,11384,6240,910,25425,535,296,55.3,239,44.7,15532,83176,45081,758,499,195,511,260,17924,1748,/en/squads/18bb7c10/2020-2021/Arsenal-Stats
24,48.5,38,21115,2579,6975,8614,5759,947,21109,595,369,62.0,223,37.5,11290,60377,30666,629,463,226,579,337,12834,1403,/en/squads/8602292d/2020-2021/Aston-Villa-Stats
27,51.1,38,23756,2489,7928,10231,5828,885,23747,573,350,61.1,222,38.7,13491,73653,37608,685,468,131,549,306,15634,1495,/en/squads/d07537b9/2020-2021/Brighton-and-Hove-Albion-Stats
25,42.1,38,19392,2181,5794,9081,4684,699,19389,403,234,58.1,170,42.2,9239,46385,20946,389,340,75,503,278,10755,1002,/en/squads/943e8050/2020-2021/Burnley-Stats
27,60.9,38,29889,2502,8879,13917,7308,1017,29879,657,359,54.6,298,45.4,17523,90661,48291,895,663,243,585,286,21851,1787,/en/squads/cff3d9bb/2020-2021/Chelsea-Stats
24,40.6,38,19798,2193,6917,8697,4410,653,19794,645,365,56.6,280,43.4,10227,56545,26885,526,388,151,596,402,11525,1113,/en/squads/47c64c55/2020-2021/Crystal-Palace-Stats
29,46.4,38,22845,2729,8235,10258,4585,643,22840,591,362,61.3,229,38.7,12603,70612,36337,604,443,105,552,344,14706,1177,/en/squads/d3fd31cc/2020-2021/Everton-Stats
28,49.7,38,23810,2407,8063,10438,5567,728,23804,795,506,63.6,289,36.4,13406,74278,37380,727,525,156,721,393,15290,1338,/en/squads/fd962109/2020-2021/Fulham-Stats
23,57.3,38,24873,2750,9043,10345,5695,880,24869,563,318,56.5,245,43.5,14066,80443,44866,811,491,158,667,319,16154,1625,/en/squads/5bfb9659/2020-2021/Leeds-United-Stats
27,54.3,38,25366,2268,7924,11997,5675,772,25354,645,358,55.5,287,44.5,13991,72245,37072,666,481,141,549,322,16883,1455,/en/squads/a2d435b3/2020-2021/Leicester-City-Stats
28,62.1,38,30073,2075,7215,14867,8242,1211,30067,696,407,58.5,288,41.4,19103,96220,50778,886,754,249,592,387,21796,2041,/en/squads/822bd0ba/2020-2021/Liverpool-Stats
24,63.5,38,30700,1912,6477,15960,8504,1196,30691,783,485,61.9,298,38.1,20039,106424,59443,1096,863,340,510,350,23640,2033,/en/squads/b8fd03ef/2020-2021/Manchester-City-Stats
29,55.7,38,26617,2222,7609,11950,7323,921,26606,711,415,58.4,293,41.2,15481,88886,47495,877,666,201,536,360,18671,1817,/en/squads/19538871/2020-2021/Manchester-United-Stats
27,38.8,38,18774,2524,7166,7894,3941,552,18767,587,350,59.6,237,40.4,9605,51309,24707,467,376,114,519,297,10730,888,/en/squads/b2b47a98/2020-2021/Newcastle-United-Stats
27,41.7,38,20351,2314,6405,8599,5537,615,20347,475,269,56.6,207,43.6,10178,54344,27029,491,398,104,536,323,12037,1183,/en/squads/1df6b87e/2020-2021/Sheffield-United-Stats
29,52.0,38,23607,2302,7497,11566,4756,698,23601,601,343,57.1,258,42.9,12535,66172,33536,626,517,126,638,386,14818,1190,/en/squads/33c895d4/2020-2021/Southampton-Stats
24,51.6,38,24670,2577,7991,11935,4997,700,24665,715,403,56.4,312,43.6,13842,73058,37183,633,506,152,519,334,16404,1316,/en/squads/361ca564/2020-2021/Tottenham-Hotspur-Stats
30,37.9,38,18248,2539,6670,7517,4238,578,18243,505,264,52.3,241,47.7,8262,44784,21527,441,283,103,613,313,9668,1017,/en/squads/60c6b05f/2020-2021/West-Bromwich-Albion-Stats
24,43.2,38,20812,2294,6638,9343,5062,761,20808,542,298,55.0,244,45.0,10964,63242,30419,659,455,152,491,318,12609,1264,/en/squads/7c21e445/2020-2021/West-Ham-United-Stats
27,49.3,38,23262,2190,7247,11021,5207,695,23258,779,468,60.1,311,39.9,13271,72782,38571,800,566,177,592,309,15405,1266,/en/squads/8cec06e1/2020-2021/Wolverhampton-Wanderers-Stats
30,42.8,38,18196,2104,6503,8087,3788,575,18188,468,255,54.5,214,45.7,8984,44443,20934,404,315,104,557,256,10113,926,/en/squads/8d6fd021/2020-2021/Alaves-Stats
27,49.9,38,21405,1919,5860,10254,5480,675,21400,501,304,60.7,197,39.3,11148,64935,35153,685,508,147,496,335,13474,1477,/en/squads/2b390eca/2020-2021/Athletic-Club-Stats
