players_used,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,url
,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,
2,38,48,5,0,3,1,47.6,0.29,0.6,0.02,151,533,28.3,1037,175,36.0,33.2,251,63.7,48.3,487,32,6.6,61,1.61,16.4,/en/squads/18bb7c10/2021-2022/Arsenal-Stats
3,38,54,4,2,5,2,46.5,0.29,-5.5,-0.14,157,442,35.5,880,176,36.5,30.4,303,39.9,34.8,513,40,7.8,34,0.89,16.3,/en/squads/8602292d/2021-2022/Aston-Villa-Stats
3,38,56,5,1,8,2,49.4,0.25,-4.6,-0.12,298,768,38.8,1355,184,43.2,33.9,300,61.0,45.2,626,37,5.9,58,1.53,16.8,/en/squads/cd051869/2021-2022/Brentford-Stats
2,38,44,3,1,6,0,42.5,0.28,-1.5,-0.04,161,568,28.3,1317,188,31.4,23.9,241,64.3,48.8,535,60,11.2,36,0.95,9.3,/en/squads/d07537b9/2021-2022/Brighton-and-Hove-Albion-Stats
2,38,53,5,1,7,2,47.5,0.25,-3.5,-0.09,346,870,39.8,850,154,69.8,50.8,304,91.1,61.3,642,46,7.2,84,2.21,17.0,/en/squads/943e8050/2021-2022/Burnley-Stats
2,38,33,6,0,2,1,31.6,0.22,-0.4,-0.01,91,222,41.0,892,183,19.1,26.4,202,25.7,24.9,419,30,7.2,54,1.42,18.8,/en/squads/cff3d9bb/2021-2022/Chelsea-Stats
2,38,46,3,2,11,2,38.5,0.24,-5.5,-0.14,130,375,34.7,994,222,26.8,29.8,272,40.1,33.1,525,28,5.3,43,1.13,11.2,/en/squads/47c64c55/2021-2022/Crystal-Palace-Stats
2,38,66,2,2,13,5,55.9,0.29,-5.1,-0.13,292,844,34.6,927,124,65.2,48.9,298,80.5,59.5,568,26,4.6,37,0.97,10.7,/en/squads/d3fd31cc/2021-2022/Everton-Stats
2,38,79,5,3,10,1,62.4,0.26,-15.6,-0.41,109,413,26.4,1108,276,27.5,30.4,292,37.0,33.2,445,23,5.2,47,1.24,23.7,/en/squads/5bfb9659/2021-2022/Leeds-United-Stats
2,38,59,7,1,15,1,56.9,0.26,-1.1,-0.03,196,491,39.9,1021,174,35.7,25.8,302,41.7,36.7,551,16,2.9,39,1.03,10.7,/en/squads/a2d435b3/2021-2022/Leicester-City-Stats
2,38,26,0,0,3,1,26.6,0.26,1.6,0.04,116,268,43.3,1294,224,16.2,22.7,185,31.4,32.7,360,22,6.1,92,2.42,17.1,/en/squads/822bd0ba/2021-2022/Liverpool-Stats
2,38,26,1,0,1,0,25.8,0.29,-0.2,-0.01,88,188,46.8,1018,171,15.7,23.4,147,19.0,26.2,310,21,6.8,58,1.53,16.6,/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
1,38,57,3,0,4,3,55.1,0.29,1.1,0.03,103,315,32.7,623,134,30.0,30.9,299,42.8,35.9,525,8,1.5,25,0.66,14.0,/en/squads/19538871/2021-2022/Manchester-United-Stats
3,38,62,5,0,8,2,52.3,0.29,-7.7,-0.2,302,726,41.6,864,127,50.3,44.5,344,84.6,57.5,521,30,5.8,18,0.47,10.5,/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
2,38,84,9,1,9,2,67.6,0.27,-14.4,-0.38,179,528,33.9,1065,215,36.3,34.5,311,45.3,38.5,617,17,2.8,33,0.87,17.3,/en/squads/1c781004/2021-2022/Norwich-City-Stats
3,38,67,2,0,12,2,57.2,0.31,-7.8,-0.21,196,612,32.0,884,149,46.4,38.4,285,70.9,49.3,573,42,7.3,33,0.87,14.0,/en/squads/33c895d4/2021-2022/Southampton-Stats
1,38,40,2,1,5,1,37.6,0.26,-1.4,-0.04,115,279,41.2,672,161,29.8,31.0,282,28.0,26.4,567,33,5.8,45,1.18,14.2,/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
2,38,77,6,1,6,3,60.3,0.29,-13.7,-0.36,267,830,32.2,932,123,61.1,44.7,311,83.9,57.1,642,27,4.2,49,1.29,15.9,/en/squads/2abfe087/2021-2022/Watford-Stats
2,38,51,2,2,8,2,48.0,0.27,-1.0,-0.03,202,553,36.5,748,167,50.5,46.3,305,57.4,42.9,610,29,4.8,12,0.32,5.5,/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
2,38,43,9,1,2,1,49.3,0.25,7.3,0.19,122,423,28.8,863,220,35.6,36.1,275,42.2,36.5,562,44,7.8,41,1.08,14.2,/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
3,38,65,6,0,10,0,58.5,0.3,-6.5,-0.17,369,783,47.1,808,96,64.6,44.5,351,74.4,50.9,619,26,4.2,48,1.26,15.7,/en/squads/8d6fd021/2021-2022/Alaves-Stats
2,38,36,3,0,2,1,36.9,0.26,1.9,0.05,158,402,39.3,748,201,35.4,33.8,269,50.9,41.7,577,30,5.2,41,1.08,15.2,/en/squads/2b390eca/2021-2022/Athletic-Club-Stats
1,38,43,7,2,4,3,32.3,0.23,-7.7,-0.2,170,598,28.4,810,155,49.9,39.0,283,68.6,48.6,477,27,5.7,29,0.76,13.8,/en/squads/db3b9613/2021-2022/Atletico-Madrid-Stats
2,38,38,2,1,7,0,34.1,0.26,-3.9,-0.1,147,289,50.9,1167,165,18.8,26.9,240,29.2,32.3,384,15,3.9,38,1.0,15.3,/en/squads/206d90db/2021-2022/Barcelona-Stats
2,38,40,3,0,3,2,39.1,0.27,1.1,0.03,201,547,36.7,962,157,41.4,33.1,275,54.2,43.9,592,24,4.1,41,1.08,15.7,/en/squads/fc536746/2021-2022/Real-Betis-Stats
1,38,43,4,0,1,2,43.3,0.27,2.3,0.06,303,804,37.7,1176,131,51.3,40.3,283,71.0,52.4,452,36,8.0,37,0.97,14.3,/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats
