players_used,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,url
,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,
1,38,38,3420,38,34,0.89,120,86,74.2,20,14,4,13,34.2,3,3,0,0,0.0,/en/squads/18bb7c10/Arsenal-Stats
2,38,38,3420,38,51,1.34,156,104,68.6,19,9,10,9,23.7,3,2,1,0,33.3,/en/squads/8602292d/Aston-Villa-Stats
3,38,38,3420,38,46,1.21,172,126,75.6,15,11,12,9,23.7,4,4,0,0,0.0,/en/squads/4ba7cbea/Bournemouth-Stats
2,38,38,3420,38,57,1.5,207,153,72.9,16,8,14,8,21.1,1,1,0,0,0.0,/en/squads/cd051869/Brentford-Stats
2,38,38,3420,38,59,1.55,147,90,66.0,16,13,9,8,21.1,9,9,0,0,0.0,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
2,38,38,3420,38,43,1.13,155,111,75.5,20,9,9,11,28.9,6,5,1,0,16.7,/en/squads/cff3d9bb/2024-2025/Chelsea-Stats
1,38,38,3420,38,51,1.34,150,101,66.7,13,14,11,11,28.9,2,1,1,0,50.0,/en/squads/47c64c55/Crystal-Palace-Stats
1,38,38,3420,38,44,1.16,163,117,73.0,11,15,12,12,31.6,2,0,2,0,100.0,/en/squads/d3fd31cc/Everton-Stats
1,38,38,3420,38,54,1.42,159,106,67.9,15,9,14,5,13.2,4,3,1,0,25.0,/en/squads/fd962109/Fulham-Stats
3,38,38,3420,38,82,2.16,210,130,63.8,4,10,24,2,5.3,6,6,0,0,0.0,/en/squads/b74092de/Ipswich-Town-Stats
3,38,38,3420,38,80,2.11,209,131,63.2,6,7,25,3,7.9,4,3,1,0,25.0,/en/squads/a2d435b3/Leicester-City-Stats
3,38,38,3420,38,41,1.08,138,98,71.0,25,9,4,14,36.8,2,1,1,0,50.0,/en/squads/822bd0ba/Liverpool-Stats
2,38,38,3420,38,44,1.16,128,86,68.8,21,8,9,13,34.2,4,4,0,0,0.0,/en/squads/b8fd03ef/2024-2025/Manchester-City-Stats
2,38,38,3420,38,54,1.42,149,96,65.8,11,9,18,10,26.3,4,3,1,0,25.0,/en/squads/19538871/Manchester-United-Stats
2,38,38,3420,38,47,1.24,161,115,71.4,20,6,12,13,34.2,2,1,1,0,50.0,/en/squads/b2b47a98/Newcastle-United-Stats
1,38,38,3420,38,46,1.21,165,119,73.9,19,8,11,13,34.2,3,3,0,0,0.0,/en/squads/e4a775cb/Nottingham-Forest-Stats
3,38,38,3420,38,86,2.26,245,157,67.8,2,6,30,3,7.9,9,7,2,0,22.2,/en/squads/33c895d4/Southampton-Stats
4,38,38,3420,38,65,1.71,180,119,65.6,11,5,22,6,15.8,3,3,0,0,0.0,/en/squads/361ca564/Tottenham-Hotspur-Stats
2,38,38,3420,38,62,1.63,186,127,68.3,11,10,17,7,18.4,3,3,0,0,0.0,/en/squads/7c21e445/West-Ham-United-Stats
4,38,38,3420,38,69,1.82,168,100,63.1,12,6,20,8,21.1,9,7,2,0,22.2,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
3,38,38,3419,38,48,1.26,132,86,72.0,10,12,16,9,23.7,11,11,0,0,0.0,/en/squads/8d6fd021/Alaves-Stats
3,38,38,3417,38,29,0.76,113,83,77.0,19,13,6,15,39.5,5,3,2,0,40.0,/en/squads/2b390eca/Athletic-Club-Stats
2,38,38,3420,38,30,0.79,116,88,78.4,22,10,6,17,44.7,5,5,0,0,0.0,/en/squads/db3b9613/2024-2025/Atletico-Madrid-Stats
3,38,38,3420,38,39,1.03,108,69,67.6,28,4,6,13,34.2,4,4,0,0,0.0,/en/squads/206d90db/Barcelona-Stats
3,38,38,3420,38,50,1.32,141,92,67.4,16,12,10,7,18.4,4,4,0,0,0.0,/en/squads/fc536746/Real-Betis-Stats
2,38,38,3420,38,57,1.5,145,89,62.8,16,7,15,8,21.1,4,3,1,0,25.0,/en/squads/f25da7fb/Celta-Vigo-Stats
1,38,38,3420,38,51,1.34,192,140,75.5,11,9,18,8,21.1,6,4,2,0,33.3,/en/squads/a8661628/Espanyol-Stats
1,38,38,3420,38,39,1.03,126,86,75.4,11,9,18,9,23.7,9,8,1,0,11.1,/en/squads/7848bd64/Getafe-Stats
3,38,38,3420,38,60,1.58,164,102,65.2,11,8,19,8,21.1,6,3,3,0,50.0,/en/squads/9024a00a/Girona-Stats
2,38,38,3420,38,61,1.61,182,120,69.2,8,8,22,4,10.5,10,5,4,1,44.4,/en/squads/0049d422/Las-Palmas-Stats
2,38,38,3420,38,56,1.47,175,122,72.0,9,13,16,11,28.9,8,7,0,1,0.0,/en/squads/7c6f2c78/Leganes-Stats
2,38,38,3420,38,44,1.16,165,122,75.2,13,9,16,9,23.7,3,3,0,0,0.0,/en/squads/2aa12281/Mallorca-Stats
2,38,38,3420,38,52,1.37,187,136,75.9,12,16,10,9,23.7,7,7,0,0,0.0,/en/squads/03c57e2b/Osasuna-Stats
2,38,38,3420,38,45,1.18,153,107,74.5,13,13,12,10,26.3,8,6,2,0,25.0,/en/squads/98e8af82/Rayo-Vallecano-Stats
3,38,38,3420,38,38,1.0,126,89,72.2,26,6,6,15,39.5,3,3,0,0,0.0,/en/squads/53a2f082/2024-2025/Real-Madrid-Stats
2,38,38,3420,38,46,1.21,142,94,71.1,13,7,18,13,34.2,7,5,2,0,28.6,/en/squads/e31d1cd9/Real-Sociedad-Stats
2,38,38,3420,38,55,1.45,148,93,66.2,10,11,17,10,26.3,6,5,1,0,16.7,/en/squads/ad2be733/Sevilla-Stats
2,38,38,3420,38,54,1.42,148,95,67.6,11,13,14,8,21.1,9,6,2,1,25.0,/en/squads/dcc91a7b/Valencia-Stats
3,38,38,3420,38,90,2.37,204,115,59.3,4,4,30,5,13.2,7,7,0,0,0.0,/en/squads/17859612/Valladolid-Stats
2,38,38,3420,38,51,1.34,160,110,72.5,20,10,8,7,18.4,8,7,0,1,0.0,/en/squads/2a8183b3/Villarreal-Stats
2,34,34,3060,34,53,1.56,190,137,74.2,10,6,18,7,20.6,5,4,0,1,0.0,/en/squads/69236f98/Angers-Stats
2,34,34,3060,34,51,1.5,173,123,74.0,11,9,14,10,29.4,8,6,2,0,25.0,/en/squads/5ae09109/Auxerre-Stats
2,34,34,3060,34,59,1.74,141,83,63.8,15,5,14,10,29.4,10,8,1,1,11.1,/en/squads/fb08dbb3/Brest-Stats
2,34,34,3060,34,71,2.09,175,104,62.3,10,4,20,4,11.8,6,5,1,0,16.7,/en/squads/5c2737db/Le-Havre-Stats
3,34,34,3060,34,39,1.15,142,102,78.2,15,7,12,13,38.2,9,8,1,0,11.1,/en/squads/fd4e0f7d/Lens-Stats
1,34,34,3060,34,36,1.06,126,91,74.6,17,9,8,11,32.4,4,4,0,0,0.0,/en/squads/cb188c0c/Lille-Stats
2,34,34,3060,34,46,1.35,166,120,74.1,17,6,11,10,29.4,3,3,0,0,0.0,/en/squads/d53c0b06/Lyon-Stats
1,34,34,3060,34,47,1.38,135,87,67.4,20,5,9,5,14.7,6,3,3,0,50.0,/en/squads/5725cc7b/Marseille-Stats
2,34,34,3060,34,41,1.21,128,87,70.3,18,7,9,11,32.4,3,3,0,0,0.0,/en/squads/fd6114db/Monaco-Stats
2,34,34,3060,34,79,2.32,194,117,63.4,4,4,26,1,2.9,9,8,1,0,11.1,/en/squads/281b0e73/Montpellier-Stats
3,34,34,3060,34,52,1.53,148,99,69.6,8,12,14,6,17.6,8,7,0,1,0.0,/en/squads/d7a486cd/Nantes-Stats
1,34,34,3060,34,41,1.21,161,120,75.8,17,9,8,8,23.5,3,2,1,0,33.3,/en/squads/132ebc33/Nice-Stats
3,34,34,3060,34,35,1.03,103,69,68.9,26,6,2,7,20.6,3,3,0,0,0.0,/en/squads/e2d8892c/2024-2025/Paris-Saint-Germain-Stats
1,34,34,3060,34,47,1.38,179,131,76.0,8,9,17,7,20.6,5,4,1,0,20.0,/en/squads/7fdd64e0/Reims-Stats
3,34,34,3060,34,50,1.47,138,87,65.9,13,2,19,11,32.4,6,3,3,0,50.0,/en/squads/b3072e00/Rennes-Stats
1,34,34,3060,34,77,2.26,209,132,69.4,8,6,20,5,14.7,15,13,2,0,13.3,/en/squads/d298ef2c/Saint-Etienne-Stats
2,34,34,3060,34,44,1.29,169,126,78.7,16,9,9,10,29.4,9,8,1,0,11.1,/en/squads/c0d3eab4/Strasbourg-Stats
3,34,34,3060,34,43,1.26,108,67,61.1,11,9,14,10,29.4,2,1,1,0,50.0,/en/squads/3f8c4b5f/Toulouse-Stats
2,34,34,3060,34,51,1.5,156,107,70.5,11,10,13,11,32.4,5,5,0,0,0.0,/en/squads/0cdc4311/Augsburg-Stats
4,34,34,3060,34,32,0.94,80,48,61.3,25,7,2,16,47.1,2,1,0,1,0.0,/en/squads/054efa67/2024-2025/Bayern-Munich-Stats
2,34,34,3060,34,68,2.0,153,83,57.5,5,8,21,5,14.7,6,3,2,1,40.0,/en/squads/b42c6323/Bochum-Stats
2,34,34,3060,34,51,1.5,140,89,66.4,17,6,11,7,20.6,4,4,0,0,0.0,/en/squads/add600ae/2024-2025/Dortmund-Stats
2,34,34,3060,34,46,1.35,163,117,72.4,17,9,8,9,26.5,3,1,2,0,66.7,/en/squads/f0ac8ee6/Eintracht-Frankfurt-Stats
2,34,34,3060,34,53,1.56,150,96,66.0,16,7,11,11,32.4,4,2,2,0,50.0,/en/squads/a486e511/Freiburg-Stats
4,34,34,3056,34,57,1.68,191,135,73.8,13,6,15,7,20.6,8,7,1,0,12.5,/en/squads/32f3ee20/Monchengladbach-Stats
2,34,34,3060,34,64,1.88,171,107,66.1,8,5,21,9,26.5,6,6,0,0,0.0,/en/squads/18d9d2a7/Heidenheim-Stats
2,34,34,3060,34,68,2.0,173,105,62.4,7,11,16,4,11.8,6,3,3,0,50.0,/en/squads/033ea6b8/Hoffenheim-Stats
2,34,34,3060,34,80,2.35,195,117,62.1,6,7,21,2,5.9,7,6,1,0,14.3,/en/squads/2ac661d9/Holstein-Kiel-Stats
2,34,34,3060,34,43,1.26,134,95,70.9,19,12,3,9,26.5,4,4,0,0,0.0,/en/squads/c7a9f859/Bayer-Leverkusen-Stats
2,34,34,3060,34,43,1.26,150,106,74.0,14,10,10,9,26.5,5,4,1,0,20.0,/en/squads/a224b06a/Mainz-05-Stats
2,34,34,3060,34,48,1.41,158,109,70.9,13,12,9,14,41.2,3,2,1,0,33.3,/en/squads/acbb6a5b/RB-Leipzig-Stats
2,34,34,3060,34,41,1.21,140,96,71.4,8,8,18,9,26.5,5,1,4,0,80.0,/en/squads/54864664/St-Pauli-Stats
1,34,34,3060,34,53,1.56,136,83,62.5,14,8,12,7,20.6,3,2,1,0,33.3,/en/squads/598bc722/Stuttgart-Stats
2,34,34,3060,34,50,1.47,139,86,65.5,10,11,13,8,23.5,6,2,4,0,66.7,/en/squads/7a41008f/Union-Berlin-Stats
1,34,34,3060,34,57,1.68,156,102,65.4,14,9,11,10,29.4,3,3,0,0,0.0,/en/squads/62add3bf/Werder-Bremen-Stats
2,34,34,3060,34,54,1.59,160,106,67.5,11,10,13,6,17.6,3,2,1,0,33.3,/en/squads/4eaa11d7/Wolfsburg-Stats
3,38,38,3420,38,37,0.97,147,112,76.2,22,8,8,15,39.5,2,2,0,0,0.0,/en/squads/922493f3/Atalanta-Stats
2,38,38,3420,38,47,1.24,106,60,57.5,16,14,8,12,31.6,3,2,1,0,33.3,/en/squads/1d8099f8/Bologna-Stats
4,38,38,3420,38,56,1.47,153,97,67.3,9,9,20,7,18.4,6,6,0,0,0.0,/en/squads/c4260e09/Cagliari-Stats
3,38,38,3420,38,52,1.37,143,91,68.5,13,10,15,7,18.4,7,7,0,0,0.0,/en/squads/28c9c3cd/Como-Stats
3,38,38,3420,38,59,1.55,158,99,63.3,6,13,19,6,15.8,3,1,1,1,50.0,/en/squads/a3d88bd8/Empoli-Stats
2,38,38,3420,38,41,1.08,148,106,73.0,19,8,11,12,31.6,3,1,2,0,66.7,/en/squads/421387cf/Fiorentina-Stats
4,38,38,3420,38,49,1.29,158,110,72.8,10,13,15,11,28.9,8,6,2,0,25.0,/en/squads/658bf2de/Genoa-Stats
2,38,38,3420,38,66,1.74,172,106,62.8,10,7,21,8,21.1,4,2,1,1,33.3,/en/squads/0e72edf2/Hellas-Verona-Stats
2,38,38,3420,38,35,0.92,130,95,75.4,24,9,5,16,42.1,4,3,1,0,25.0,/en/squads/d609edc0/2024-2025/Internazionale-Stats
2,38,38,3420,38,35,0.92,119,84,74.8,18,16,4,17,44.7,5,5,0,0,0.0,/en/squads/e0652b02/2024-2025/Juventus-Stats
2,38,38,3420,38,49,1.29,119,72,62.2,18,11,9,9,23.7,4,4,0,0,0.0,/en/squads/7213da33/Lazio-Stats
1,38,38,3420,38,58,1.53,181,125,72.4,8,10,20,9,23.7,10,8,1,1,11.1,/en/squads/ffcbe334/Lecce-Stats
2,38,38,3420,38,43,1.13,142,101,70.4,18,9,11,13,34.2,2,1,1,0,50.0,/en/squads/dc56fe14/Milan-Stats
3,38,38,3420,38,69,1.82,183,115,63.4,3,9,26,3,7.9,4,2,2,0,50.0,/en/squads/21680aa4/Monza-Stats
3,38,38,3420,38,27,0.71,96,69,72.9,24,10,4,19,50.0,4,1,2,1,66.7,/en/squads/d48ad4ff/Napoli-Stats
2,38,38,3330,38,58,1.57,158,102,66.5,7,15,16,7,18.4,5,5,0,0,0.0,/en/squads/eab4234c/Parma-Stats
1,38,38,3420,38,35,0.92,151,117,79.5,20,9,9,16,42.1,4,4,0,0,0.0,/en/squads/cf74a709/Roma-Stats
2,38,38,3420,38,45,1.18,180,133,76.7,10,14,14,10,26.3,7,3,4,0,57.1,/en/squads/105360fe/Torino-Stats
3,38,38,3420,38,56,1.47,164,113,70.1,12,8,18,9,23.7,8,7,0,1,0.0,/en/squads/04eea015/Udinese-Stats
3,38,38,3420,38,56,1.47,188,134,75.5,5,14,19,6,15.8,11,10,1,0,9.1,/en/squads/af5d5982/Venezia-Stats
